date,trends_impact_score,seasonal_impact_factor,cost_pressure_index,demand_pressure_index,top_trending_category,kpop_trend_score,competitors_with_promotion,avg_competitor_quality,avg_tiramisu_competitor_price,avg_cheesecake_competitor_price,consumer_confidence,inflation_rate,price_recommendation_score,promotion_recommendation_score,market_attractiveness_score,should_increase_price,should_decrease_price,should_run_promotion,market_is_attractive
2024-01-01,52.5,1.42,47.73,1.0,kpop_entertainment,355,5,4.3,232000.0,187000.0,77.5,3.37,-100,66.8,98.7,False,True,True,True
2024-01-02,52.5,1.14,46.43,1.0,kpop_entertainment,355,4,4.2,230000.0,207000.0,78.1,3.58,-100,67.4,91.5,False,True,True,True
2024-01-03,52.5,0.95,47.93,1.01,kpop_entertainment,355,6,4.2,236000.0,210000.0,79.2,3.56,-100,88.8,87.1,False,True,True,True
2024-01-04,52.5,0.95,47.43,1.02,kpop_entertainment,355,5,4.1,245000.0,201000.0,80.7,3.35,-100,80.6,87.3,False,True,True,True
2024-01-05,52.5,0.95,47.72,0.99,kpop_entertainment,355,5,4.2,214000.0,187000.0,75.1,3.2,-100,81.3,86.6,False,True,True,True
2024-01-06,52.5,0.95,47.62,1.01,kpop_entertainment,355,7,4.1,227000.0,188000.0,79.9,3.75,-100,96.7,87.1,False,True,True,True
2024-01-07,52.5,0.95,47.58,1.0,kpop_entertainment,355,5,4.2,229000.0,202000.0,78.0,3.24,-100,81.0,86.9,False,True,True,True
2024-01-08,54.7,0.95,46.96,1.0,character_ip,316,5,4.2,216000.0,176000.0,77.2,3.42,-100,80.6,87.4,False,True,True,True
2024-01-09,54.7,0.95,47.91,1.01,character_ip,316,7,4.2,209000.0,188000.0,79.0,3.49,-100,96.3,87.6,False,True,True,True
2024-01-10,54.7,0.95,47.97,1.01,character_ip,316,1,4.2,211000.0,191000.0,78.6,3.65,-100,48.4,87.6,False,True,False,True
2024-01-11,54.7,0.95,46.41,1.01,character_ip,316,5,4.1,219000.0,179000.0,81.8,3.49,-100,80.2,87.8,False,True,True,True
2024-01-12,54.7,0.95,47.48,1.0,character_ip,316,2,4.1,221000.0,176000.0,77.0,3.33,-100,56.6,87.4,False,True,False,True
2024-01-13,54.7,0.95,47.39,1.0,character_ip,316,7,4.1,228000.0,175000.0,78.9,3.34,-100,96.5,87.5,False,True,True,True
2024-01-14,54.7,0.95,46.62,1.01,character_ip,316,5,4.2,225000.0,204000.0,79.8,3.25,-100,80.3,87.7,False,True,True,True
2024-01-15,53.2,0.95,46.99,0.99,kpop_entertainment,341,2,4.2,215000.0,196000.0,76.7,3.73,-100,57.0,86.9,False,True,False,True
2024-01-16,53.2,0.95,47.43,0.98,kpop_entertainment,341,2,4.0,218000.0,191000.0,74.3,3.54,-100,57.2,86.7,False,True,False,True
2024-01-17,53.2,0.95,48.29,1.0,kpop_entertainment,341,6,4.1,226000.0,186000.0,78.7,3.48,-100,88.9,87.0,False,True,True,True
2024-01-18,53.2,0.95,46.37,0.98,kpop_entertainment,341,4,4.2,222000.0,194000.0,73.0,3.35,-100,73.3,86.6,False,True,True,True
2024-01-19,53.2,0.95,46.78,1.0,kpop_entertainment,341,3,4.2,224000.0,192000.0,77.2,3.63,-100,64.9,87.0,False,True,True,True
2024-01-20,53.2,0.95,47.67,1.01,kpop_entertainment,341,3,4.1,240000.0,202000.0,79.2,3.37,-100,64.7,87.2,False,True,True,True
2024-01-21,53.2,0.95,48.26,0.99,kpop_entertainment,341,3,4.2,230000.0,195000.0,77.2,3.36,-100,65.0,86.9,False,True,True,True
2024-01-22,54.8,0.95,47.3,1.0,kpop_entertainment,374,5,4.1,206000.0,196000.0,76.3,3.37,-100,80.7,87.3,False,True,True,True
2024-01-23,54.8,0.95,48.32,1.0,kpop_entertainment,374,5,4.3,226000.0,194000.0,77.5,3.7,-100,80.6,87.4,False,True,True,True
2024-01-24,54.8,0.95,48.1,1.0,kpop_entertainment,374,5,4.0,227000.0,193000.0,78.1,3.5,-100,80.5,87.5,False,True,True,True
2024-01-25,54.8,0.95,46.49,0.99,kpop_entertainment,374,5,4.1,226000.0,195000.0,76.0,3.37,-100,80.9,87.1,False,True,True,True
2024-01-26,54.8,0.95,47.16,0.99,kpop_entertainment,374,4,4.3,224000.0,194000.0,77.7,3.75,-100,72.7,87.3,False,True,True,True
2024-01-27,54.8,0.95,48.68,1.02,kpop_entertainment,374,7,4.1,236000.0,194000.0,81.5,3.81,-100,96.0,88.0,False,True,True,True
2024-01-28,54.8,0.95,46.31,0.99,kpop_entertainment,374,3,4.1,231000.0,200000.0,76.6,3.56,-100,64.7,87.3,False,True,True,True
2024-01-29,54.7,0.95,47.11,1.0,character_ip,312,2,4.0,212000.0,190000.0,76.3,3.52,-100,56.6,87.4,False,True,False,True
2024-01-30,54.7,0.95,47.73,0.99,character_ip,312,4,4.3,230000.0,192000.0,75.8,3.33,-100,72.8,87.2,False,True,True,True
2024-01-31,54.7,0.95,45.79,1.01,character_ip,312,3,4.3,234000.0,194000.0,80.7,3.73,-100,64.3,87.7,False,True,True,True
2024-02-01,54.7,0.95,48.37,1.01,character_ip,312,2,4.2,234000.0,198000.0,79.7,3.54,-100,56.4,87.6,False,True,False,True
2024-02-02,54.7,0.95,47.79,1.0,character_ip,312,3,4.1,228000.0,198000.0,78.9,3.52,-100,64.5,87.5,False,True,True,True
2024-02-03,54.7,0.95,46.81,1.0,character_ip,312,7,4.1,230000.0,183000.0,77.8,3.24,-100,96.5,87.5,False,True,True,True
2024-02-04,54.7,0.95,48.48,1.01,character_ip,312,7,4.1,217000.0,186000.0,80.1,3.64,-100,96.3,87.6,False,True,True,True
2024-02-05,53.6,0.95,47.48,1.02,kpop_entertainment,332,4,4.1,228000.0,186000.0,82.0,4.0,-100,72.3,87.6,False,True,True,True
2024-02-06,53.6,0.95,46.16,1.01,kpop_entertainment,332,3,4.2,213000.0,193000.0,79.4,3.17,-100,64.6,87.3,False,True,True,True
2024-02-07,53.6,1.14,47.87,1.01,kpop_entertainment,332,4,4.1,218000.0,198000.0,80.0,3.17,-100,66.9,92.1,False,True,True,True
2024-02-08,53.6,1.71,46.99,1.02,kpop_entertainment,332,2,4.1,231000.0,191000.0,81.0,3.41,-100,33.6,106.6,False,True,False,True
2024-02-09,53.6,2.28,45.41,1.0,kpop_entertainment,332,1,4.2,218000.0,193000.0,76.9,3.37,-100,9.0,120.3,False,True,False,True
2024-02-10,53.6,2.85,46.51,1.0,kpop_entertainment,332,8,4.2,228000.0,202000.0,77.0,3.55,-100,47.8,134.6,False,True,False,True
2024-02-11,53.6,2.28,48.19,0.99,kpop_entertainment,332,3,4.2,269000.0,228000.0,76.1,3.16,-100,25.1,120.2,False,True,False,True
2024-02-12,56.5,1.71,46.15,1.0,kpop_entertainment,384,3,4.1,243000.0,215000.0,78.9,3.66,-100,41.3,107.0,False,True,False,True
2024-02-13,56.5,1.9,46.35,0.99,kpop_entertainment,384,3,4.2,246000.0,218000.0,76.0,3.33,-100,35.8,111.5,False,True,False,True
2024-02-14,56.5,2.38,47.76,0.98,kpop_entertainment,384,3,4.1,252000.0,212000.0,74.5,3.19,-100,21.9,123.1,False,True,False,True
2024-02-15,56.5,1.9,46.59,1.01,kpop_entertainment,384,3,4.2,248000.0,216000.0,80.2,3.52,-100,35.6,111.8,False,True,False,True
2024-02-16,56.5,1.42,46.42,1.01,kpop_entertainment,384,3,4.2,252000.0,207000.0,80.0,3.62,-100,49.8,99.9,False,True,False,True
2024-02-17,56.5,0.95,45.58,1.0,kpop_entertainment,384,3,4.2,266000.0,224000.0,76.9,3.33,-100,64.3,87.8,False,True,True,True
2024-02-18,56.5,0.95,46.6,0.98,kpop_entertainment,384,4,4.3,247000.0,202000.0,74.6,3.68,-100,72.6,87.4,False,True,True,True
2024-02-19,54.7,0.95,47.79,0.99,character_ip,309,5,4.1,232000.0,192000.0,76.3,3.59,-100,80.8,87.2,False,True,True,True
2024-02-20,54.7,0.95,46.05,1.02,character_ip,309,6,4.2,228000.0,185000.0,81.7,3.54,-100,88.2,87.8,False,True,True,True
2024-02-21,54.7,0.95,46.47,1.0,character_ip,309,6,4.2,223000.0,192000.0,78.2,3.74,-100,88.5,87.5,False,True,True,True
2024-02-22,54.7,0.95,46.76,1.0,character_ip,309,2,4.1,237000.0,187000.0,77.7,3.66,-100,56.6,87.4,False,True,False,True
2024-02-23,54.7,0.95,47.7,1.0,character_ip,309,4,4.1,228000.0,193000.0,79.1,3.55,-100,72.5,87.5,False,True,True,True
2024-02-24,54.7,0.95,49.24,0.99,character_ip,309,2,4.3,228000.0,200000.0,77.1,3.5,-100,56.8,87.1,False,True,False,True
2024-02-25,54.7,0.95,45.51,0.99,character_ip,309,3,4.3,238000.0,199000.0,73.8,3.44,-100,64.9,87.1,False,True,True,True
2024-02-26,56.0,0.95,47.89,1.02,kpop_entertainment,346,7,4.1,230000.0,183000.0,81.2,3.47,-100,95.8,88.2,False,True,True,True
2024-02-27,56.0,0.95,47.11,0.99,kpop_entertainment,346,2,4.0,230000.0,187000.0,75.8,3.33,-100,56.5,87.6,False,True,False,True
2024-02-28,56.0,0.95,46.93,0.98,kpop_entertainment,346,4,4.2,228000.0,192000.0,73.0,3.44,-100,72.8,87.2,False,True,True,True
2024-02-29,56.0,0.95,45.5,1.0,kpop_entertainment,346,3,4.0,230000.0,198000.0,77.5,2.97,-100,64.2,87.9,False,True,True,True
2024-03-01,56.0,1.1,45.75,1.0,kpop_entertainment,346,3,4.1,228000.0,192000.0,78.8,3.85,-100,59.7,91.6,False,True,False,True
2024-03-02,56.0,1.1,45.18,1.01,kpop_entertainment,346,3,4.1,224000.0,194000.0,80.4,3.16,-100,59.6,91.7,False,True,False,True
2024-03-03,56.0,1.1,45.67,1.01,kpop_entertainment,346,2,4.2,241000.0,205000.0,80.5,3.3,-100,51.6,91.7,False,True,False,True
2024-03-04,60.1,1.1,46.65,1.0,character_ip,345,6,4.3,216000.0,185000.0,78.2,3.4,-100,82.9,92.6,False,True,True,True
2024-03-05,60.1,1.1,46.2,1.01,character_ip,345,6,4.1,230000.0,182000.0,80.8,3.73,-100,82.7,92.9,False,True,True,True
2024-03-06,60.1,1.1,48.19,1.01,character_ip,345,5,4.1,230000.0,186000.0,80.3,3.55,-100,74.8,92.7,False,True,True,True
2024-03-07,60.1,1.1,48.24,1.01,character_ip,345,5,4.1,224000.0,186000.0,77.6,3.48,-100,74.8,92.7,False,True,True,True
2024-03-08,60.1,1.1,45.58,1.01,character_ip,345,3,4.1,227000.0,188000.0,78.1,3.7,-100,58.8,92.7,False,True,False,True
2024-03-09,60.1,1.1,46.37,1.0,character_ip,345,4,4.1,242000.0,193000.0,78.6,3.32,-100,66.9,92.6,False,True,True,True
2024-03-10,60.1,1.1,47.55,1.0,character_ip,345,5,4.1,234000.0,194000.0,77.2,3.54,-100,75.1,92.5,False,True,True,True
2024-03-11,59.3,1.1,46.63,1.01,character_ip,340,5,4.1,222000.0,190000.0,80.9,3.39,-100,74.8,92.6,False,True,True,True
2024-03-12,59.3,1.1,46.47,1.0,character_ip,340,2,4.2,224000.0,193000.0,78.1,3.52,-100,51.2,92.2,False,True,False,True
2024-03-13,59.3,1.1,47.39,0.99,character_ip,340,2,4.0,225000.0,196000.0,76.7,3.81,-100,51.3,92.1,False,True,False,True
2024-03-14,59.3,1.1,46.76,1.02,character_ip,340,5,4.2,227000.0,187000.0,82.0,3.25,-100,74.7,92.8,False,True,True,True
2024-03-15,59.3,1.1,46.84,1.01,character_ip,340,6,4.2,215000.0,190000.0,80.1,3.63,-100,83.0,92.5,False,True,True,True
2024-03-16,59.3,1.1,45.77,1.0,character_ip,340,4,4.1,238000.0,201000.0,77.7,3.41,-100,67.2,92.2,False,True,True,True
2024-03-17,59.3,1.1,46.36,1.01,character_ip,340,2,4.2,237000.0,203000.0,80.2,3.5,-100,50.9,92.5,False,True,False,True
2024-03-18,54.9,1.1,46.44,0.99,character_ip,325,4,4.2,226000.0,185000.0,77.4,3.7,-100,68.2,91.1,False,True,True,True
2024-03-19,54.9,1.1,47.08,1.01,character_ip,325,4,4.1,218000.0,195000.0,80.0,3.6,-100,67.8,91.5,False,True,True,True
2024-03-20,54.9,1.1,48.06,1.0,character_ip,325,2,4.2,227000.0,187000.0,78.9,3.39,-100,51.9,91.3,False,True,False,True
2024-03-21,54.9,1.1,47.05,1.01,character_ip,325,4,4.1,226000.0,191000.0,80.1,3.52,-100,67.8,91.5,False,True,True,True
2024-03-22,54.9,1.1,48.52,1.01,character_ip,325,4,4.1,223000.0,169000.0,80.1,3.63,-100,67.7,91.5,False,True,True,True
2024-03-23,54.9,1.1,47.61,1.01,character_ip,325,3,4.1,233000.0,191000.0,79.8,3.41,-100,59.9,91.4,False,True,False,True
2024-03-24,54.9,1.1,47.78,1.0,character_ip,325,2,4.2,226000.0,200000.0,79.5,3.8,-100,51.9,91.4,False,True,False,True
2024-03-25,54.3,1.1,46.04,1.01,character_ip,309,4,4.3,216000.0,191000.0,81.1,3.53,-100,67.8,91.4,False,True,True,True
2024-03-26,54.3,1.1,46.48,1.01,character_ip,309,7,4.1,220000.0,176000.0,79.0,2.98,-100,91.9,91.3,False,True,True,True
2024-03-27,54.3,1.1,48.78,1.01,character_ip,309,3,4.1,214000.0,189000.0,77.8,3.31,-100,60.0,91.2,False,True,True,True
2024-03-28,54.3,1.1,48.28,1.0,character_ip,309,6,4.1,208000.0,188000.0,78.6,3.65,-100,84.1,91.1,False,True,True,True
2024-03-29,54.3,1.1,46.62,0.99,character_ip,309,4,4.2,224000.0,189000.0,76.8,3.58,-100,68.3,90.9,False,True,True,True
2024-03-30,54.3,1.1,48.81,1.01,character_ip,309,2,4.1,235000.0,195000.0,78.4,3.46,-100,52.0,91.2,False,True,False,True
2024-03-31,54.3,1.1,47.12,0.99,character_ip,309,2,4.2,231000.0,184000.0,76.4,3.63,-100,52.3,90.9,False,True,False,True
2024-04-01,54.8,1.1,46.12,1.01,character_ip,283,5,4.1,215000.0,180000.0,82.0,3.59,-100,75.7,91.6,False,True,True,True
2024-04-02,54.8,1.1,48.01,0.98,character_ip,283,2,4.1,213000.0,187000.0,73.9,3.32,-100,52.4,90.8,False,True,False,True
2024-04-03,54.8,1.1,45.12,1.01,character_ip,283,4,4.2,221000.0,185000.0,79.4,3.22,-100,67.8,91.5,False,True,True,True
2024-04-04,54.8,1.1,46.5,1.01,character_ip,283,7,4.2,209000.0,184000.0,79.2,3.76,-100,91.9,91.3,False,True,True,True
2024-04-05,54.8,1.1,47.01,1.0,character_ip,283,9,4.1,224000.0,158000.0,78.9,3.08,-100,100.0,91.2,False,True,True,True
2024-04-06,54.8,1.1,47.34,1.0,character_ip,283,3,4.2,230000.0,195000.0,78.5,3.46,-100,60.1,91.2,False,True,True,True
2024-04-07,54.8,1.1,47.03,1.01,character_ip,283,4,4.1,222000.0,194000.0,80.6,3.72,-100,67.8,91.5,False,True,True,True
2024-04-08,52.6,1.1,48.86,1.0,character_ip,287,0,4.2,218000.0,187000.0,75.8,3.82,-100,36.5,90.6,False,True,False,True
2024-04-09,52.6,1.1,47.87,1.01,character_ip,287,4,4.1,219000.0,176000.0,80.1,3.75,-100,68.2,90.9,False,True,True,True
2024-04-10,52.6,1.1,46.05,0.99,character_ip,287,8,4.2,213000.0,180000.0,77.0,3.08,-100,100.0,90.5,False,True,True,True
2024-04-11,52.6,1.1,47.5,1.0,character_ip,287,3,4.2,218000.0,182000.0,79.0,3.53,-100,60.4,90.7,False,True,True,True
2024-04-12,52.6,1.1,47.75,1.0,character_ip,287,5,4.0,208000.0,181000.0,77.4,3.65,-100,76.5,90.7,False,True,True,True
