date,competitor,product,price,has_promotion,estimated_market_share,store_count,quality_rating,delivery_available
2024-01-01,Paris Baguette,Tiramisu,287000.0,0,0.067,23,4.5,1
2024-01-01,Paris Baguette,Cheesecake,230000.0,1,0.175,3,4.0,0
2024-01-01,Paris Baguette,Macaron,46000.0,1,0.072,21,3.7,1
2024-01-01,Paris Baguette,Éclair,78000.0,0,0.147,14,4.6,1
2024-01-01,Paris Baguette,Croissant,44000.0,0,0.121,22,4.7,0
2024-01-01,Paris Baguette,Red Velvet Cake,324000.0,0,0.217,23,3.8,1
2024-01-01,Tous Les Jours,Tiramisu,284000.0,0,0.219,15,4.1,0
2024-01-01,Tous Les Jours,Cheesecake,176000.0,1,0.249,5,4.6,0
2024-01-01,Tous Les Jours,Macaron,51000.0,0,0.107,20,3.6,1
2024-01-01,Tous Les Jours,Éclair,70000.0,0,0.084,21,4.2,1
2024-01-01,Tous Les Jours,Croissant,44000.0,0,0.057,5,3.7,0
2024-01-01,Tous Les Jours,Red Velvet Cake,320000.0,0,0.095,22,4.5,1
2024-01-01,ABC Bakery,Tiramisu,249000.0,0,0.061,10,4.7,1
2024-01-01,ABC Bakery,Cheesecake,199000.0,0,0.225,1,4.3,1
2024-01-01,ABC Bakery,Macaron,35000.0,1,0.153,14,4.4,1
2024-01-01,ABC Bakery,Éclair,61000.0,0,0.169,15,4.0,0
2024-01-01,ABC Bakery,Croissant,34000.0,0,0.07,2,4.7,0
2024-01-01,ABC Bakery,Red Velvet Cake,254000.0,0,0.179,19,4.2,1
2024-01-01,Givral,Tiramisu,214000.0,0,0.067,20,3.8,1
2024-01-01,Givral,Cheesecake,190000.0,0,0.208,13,4.2,1
2024-01-01,Givral,Macaron,42000.0,0,0.242,10,4.7,1
2024-01-01,Givral,Éclair,58000.0,0,0.194,2,3.5,1
2024-01-01,Givral,Croissant,36000.0,0,0.168,5,4.6,1
2024-01-01,Givral,Red Velvet Cake,265000.0,0,0.231,17,4.6,1
2024-01-01,Local Bakery A,Tiramisu,222000.0,0,0.187,20,4.6,0
2024-01-01,Local Bakery A,Cheesecake,180000.0,0,0.199,19,4.7,0
2024-01-01,Local Bakery A,Macaron,36000.0,0,0.149,10,3.9,0
2024-01-01,Local Bakery A,Éclair,57000.0,0,0.24,16,3.6,0
2024-01-01,Local Bakery A,Croissant,33000.0,0,0.183,23,4.8,1
2024-01-01,Local Bakery A,Red Velvet Cake,243000.0,0,0.242,18,3.6,0
2024-01-01,Supermarket Chain,Tiramisu,136000.0,1,0.094,5,4.3,1
2024-01-01,Supermarket Chain,Cheesecake,148000.0,0,0.228,9,4.5,1
2024-01-01,Supermarket Chain,Macaron,30000.0,0,0.223,6,4.8,1
2024-01-01,Supermarket Chain,Éclair,42000.0,0,0.162,14,4.7,0
2024-01-01,Supermarket Chain,Croissant,26000.0,0,0.208,6,3.5,1
2024-01-01,Supermarket Chain,Red Velvet Cake,179000.0,0,0.136,3,4.5,1
2024-01-02,Paris Baguette,Tiramisu,262000.0,1,0.112,21,4.5,1
2024-01-02,Paris Baguette,Cheesecake,256000.0,0,0.077,10,3.6,1
2024-01-02,Paris Baguette,Macaron,53000.0,0,0.105,1,4.4,0
2024-01-02,Paris Baguette,Éclair,77000.0,0,0.063,24,3.5,1
2024-01-02,Paris Baguette,Croissant,47000.0,0,0.065,3,4.7,0
2024-01-02,Paris Baguette,Red Velvet Cake,343000.0,0,0.145,19,4.7,1
2024-01-02,Tous Les Jours,Tiramisu,290000.0,0,0.197,18,4.0,1
2024-01-02,Tous Les Jours,Cheesecake,244000.0,0,0.215,12,4.1,0
2024-01-02,Tous Les Jours,Macaron,47000.0,1,0.082,20,3.8,1
2024-01-02,Tous Les Jours,Éclair,75000.0,0,0.125,1,4.3,1
2024-01-02,Tous Les Jours,Croissant,37000.0,1,0.172,18,4.1,1
2024-01-02,Tous Les Jours,Red Velvet Cake,312000.0,0,0.196,5,4.1,1
2024-01-02,ABC Bakery,Tiramisu,238000.0,0,0.224,19,3.5,1
2024-01-02,ABC Bakery,Cheesecake,215000.0,0,0.18,19,4.4,1
2024-01-02,ABC Bakery,Macaron,41000.0,0,0.142,13,4.3,1
2024-01-02,ABC Bakery,Éclair,59000.0,0,0.104,6,4.0,1
2024-01-02,ABC Bakery,Croissant,38000.0,0,0.176,5,3.8,1
2024-01-02,ABC Bakery,Red Velvet Cake,259000.0,0,0.189,19,3.5,1
2024-01-02,Givral,Tiramisu,200000.0,1,0.207,5,4.0,0
2024-01-02,Givral,Cheesecake,192000.0,0,0.106,2,4.1,0
2024-01-02,Givral,Macaron,40000.0,0,0.148,16,4.2,1
2024-01-02,Givral,Éclair,56000.0,0,0.202,14,4.3,1
2024-01-02,Givral,Croissant,32000.0,0,0.119,21,4.6,1
2024-01-02,Givral,Red Velvet Cake,246000.0,0,0.096,15,4.1,0
2024-01-02,Local Bakery A,Tiramisu,218000.0,0,0.144,17,4.3,1
2024-01-02,Local Bakery A,Cheesecake,187000.0,0,0.075,24,4.7,1
2024-01-02,Local Bakery A,Macaron,39000.0,0,0.24,19,3.5,0
2024-01-02,Local Bakery A,Éclair,55000.0,0,0.058,1,4.4,0
2024-01-02,Local Bakery A,Croissant,34000.0,0,0.19,24,4.4,1
2024-01-02,Local Bakery A,Red Velvet Cake,229000.0,0,0.196,6,4.0,1
2024-01-02,Supermarket Chain,Tiramisu,175000.0,0,0.245,4,4.1,1
2024-01-02,Supermarket Chain,Cheesecake,147000.0,0,0.218,5,4.7,1
2024-01-02,Supermarket Chain,Macaron,32000.0,0,0.107,11,4.4,0
2024-01-02,Supermarket Chain,Éclair,41000.0,0,0.208,4,4.4,1
2024-01-02,Supermarket Chain,Croissant,25000.0,0,0.179,12,3.8,1
2024-01-02,Supermarket Chain,Red Velvet Cake,188000.0,0,0.152,12,4.2,1
2024-01-03,Paris Baguette,Tiramisu,301000.0,0,0.172,21,3.6,1
2024-01-03,Paris Baguette,Cheesecake,259000.0,0,0.124,14,3.8,1
2024-01-03,Paris Baguette,Macaron,39000.0,1,0.231,11,3.8,1
2024-01-03,Paris Baguette,Éclair,78000.0,0,0.123,3,3.7,1
2024-01-03,Paris Baguette,Croissant,48000.0,0,0.101,7,4.6,1
2024-01-03,Paris Baguette,Red Velvet Cake,330000.0,0,0.085,17,4.8,1
2024-01-03,Tous Les Jours,Tiramisu,293000.0,0,0.097,11,4.0,0
2024-01-03,Tous Les Jours,Cheesecake,253000.0,0,0.225,12,4.5,1
2024-01-03,Tous Les Jours,Macaron,53000.0,0,0.226,13,3.6,1
2024-01-03,Tous Les Jours,Éclair,74000.0,0,0.206,15,4.4,1
2024-01-03,Tous Les Jours,Croissant,44000.0,0,0.118,23,4.2,1
2024-01-03,Tous Les Jours,Red Velvet Cake,232000.0,1,0.067,9,4.2,0
2024-01-03,ABC Bakery,Tiramisu,197000.0,1,0.144,15,4.3,0
2024-01-03,ABC Bakery,Cheesecake,215000.0,0,0.204,4,3.7,1
2024-01-03,ABC Bakery,Macaron,42000.0,0,0.223,10,4.6,1
2024-01-03,ABC Bakery,Éclair,50000.0,1,0.17,21,4.8,1
2024-01-03,ABC Bakery,Croissant,40000.0,0,0.201,3,3.5,1
2024-01-03,ABC Bakery,Red Velvet Cake,274000.0,0,0.083,18,4.5,1
2024-01-03,Givral,Tiramisu,229000.0,0,0.238,10,4.2,0
2024-01-03,Givral,Cheesecake,201000.0,0,0.105,17,4.7,1
2024-01-03,Givral,Macaron,40000.0,0,0.195,10,4.5,1
2024-01-03,Givral,Éclair,57000.0,0,0.241,11,4.7,1
2024-01-03,Givral,Croissant,35000.0,0,0.135,23,3.8,0
2024-01-03,Givral,Red Velvet Cake,261000.0,0,0.123,20,3.7,0
2024-01-03,Local Bakery A,Tiramisu,224000.0,0,0.216,15,4.4,0
2024-01-03,Local Bakery A,Cheesecake,189000.0,0,0.124,13,4.7,0
2024-01-03,Local Bakery A,Macaron,39000.0,0,0.09,1,4.3,1
2024-01-03,Local Bakery A,Éclair,55000.0,0,0.053,1,4.7,1
2024-01-03,Local Bakery A,Croissant,33000.0,0,0.082,4,4.1,1
2024-01-03,Local Bakery A,Red Velvet Cake,196000.0,1,0.102,12,4.6,1
2024-01-03,Supermarket Chain,Tiramisu,172000.0,0,0.124,10,3.5,1
2024-01-03,Supermarket Chain,Cheesecake,146000.0,0,0.097,17,3.8,0
2024-01-03,Supermarket Chain,Macaron,28000.0,0,0.09,17,4.0,1
2024-01-03,Supermarket Chain,Éclair,43000.0,0,0.188,5,4.3,1
2024-01-03,Supermarket Chain,Croissant,25000.0,0,0.184,4,4.6,1
2024-01-03,Supermarket Chain,Red Velvet Cake,150000.0,1,0.214,1,3.9,0
2024-01-04,Paris Baguette,Tiramisu,312000.0,0,0.194,9,3.7,0
2024-01-04,Paris Baguette,Cheesecake,255000.0,0,0.245,23,4.4,1
2024-01-04,Paris Baguette,Macaron,44000.0,1,0.141,18,4.5,0
2024-01-04,Paris Baguette,Éclair,60000.0,1,0.172,13,3.7,1
2024-01-04,Paris Baguette,Croissant,46000.0,0,0.11,14,4.0,1
2024-01-04,Paris Baguette,Red Velvet Cake,335000.0,0,0.122,5,4.3,1
2024-01-04,Tous Les Jours,Tiramisu,298000.0,0,0.093,23,4.1,0
2024-01-04,Tous Les Jours,Cheesecake,259000.0,0,0.083,19,4.6,1
2024-01-04,Tous Les Jours,Macaron,49000.0,0,0.103,1,4.3,1
2024-01-04,Tous Les Jours,Éclair,67000.0,0,0.247,10,3.8,0
2024-01-04,Tous Les Jours,Croissant,41000.0,0,0.234,8,3.5,1
2024-01-04,Tous Les Jours,Red Velvet Cake,314000.0,0,0.222,13,4.6,1
2024-01-04,ABC Bakery,Tiramisu,251000.0,0,0.104,3,4.0,1
2024-01-04,ABC Bakery,Cheesecake,152000.0,1,0.224,3,4.3,1
2024-01-04,ABC Bakery,Macaron,43000.0,0,0.068,20,3.5,1
2024-01-04,ABC Bakery,Éclair,63000.0,0,0.169,24,4.5,1
2024-01-04,ABC Bakery,Croissant,36000.0,0,0.11,10,3.9,1
2024-01-04,ABC Bakery,Red Velvet Cake,271000.0,0,0.172,13,4.2,1
2024-01-04,Givral,Tiramisu,222000.0,0,0.146,20,4.6,0
2024-01-04,Givral,Cheesecake,205000.0,0,0.139,22,3.9,1
2024-01-04,Givral,Macaron,41000.0,0,0.216,7,4.0,1
2024-01-04,Givral,Éclair,58000.0,0,0.151,3,4.7,1
2024-01-04,Givral,Croissant,35000.0,0,0.071,20,4.3,1
2024-01-04,Givral,Red Velvet Cake,255000.0,0,0.249,15,3.8,1
2024-01-04,Local Bakery A,Tiramisu,218000.0,0,0.093,16,4.8,1
2024-01-04,Local Bakery A,Cheesecake,190000.0,0,0.141,10,4.1,1
2024-01-04,Local Bakery A,Macaron,37000.0,0,0.214,21,4.8,1
2024-01-04,Local Bakery A,Éclair,56000.0,0,0.061,5,3.8,1
2024-01-04,Local Bakery A,Croissant,32000.0,0,0.129,13,4.0,1
2024-01-04,Local Bakery A,Red Velvet Cake,251000.0,0,0.167,2,4.7,0
2024-01-04,Supermarket Chain,Tiramisu,171000.0,0,0.088,3,4.5,1
2024-01-04,Supermarket Chain,Cheesecake,143000.0,0,0.175,4,3.5,1
2024-01-04,Supermarket Chain,Macaron,29000.0,0,0.164,1,4.2,1
2024-01-04,Supermarket Chain,Éclair,30000.0,1,0.218,23,4.4,0
2024-01-04,Supermarket Chain,Croissant,20000.0,1,0.052,1,3.9,1
2024-01-04,Supermarket Chain,Red Velvet Cake,181000.0,0,0.218,15,3.5,0
2024-01-05,Paris Baguette,Tiramisu,279000.0,0,0.216,24,3.5,1
