date,competitor,product_type,price,seasonal_factor
2023-01-01,ABC Bakery,bánh sinh nhật,231000.0,1.3
2023-01-01,ABC Bakery,bánh cupcake,46000.0,1.3
2023-01-01,ABC Bakery,bánh mì sandwich,59000.0,1.3
2023-01-01,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-01,ABC Bakery,bánh donut,24000.0,1.3
2023-01-01,Paris Baguette,bánh sinh nhật,484000.0,1.3
2023-01-01,Paris Baguette,bánh cupcake,49000.0,1.3
2023-01-01,Paris Baguette,bánh mì sandwich,61000.0,1.3
2023-01-01,Paris Baguette,bánh croissant,31000.0,1.3
2023-01-01,Paris Baguette,bánh donut,30000.0,1.3
2023-01-01,Local Bakery,bánh sinh nhật,467000.0,1.3
2023-01-01,Local Bakery,bánh cupcake,35000.0,1.3
2023-01-01,Local Bakery,bánh mì sandwich,50000.0,1.3
2023-01-01,Local Bakery,bánh croissant,32000.0,1.3
2023-01-01,Local Bakery,bánh donut,24000.0,1.3
2023-01-02,ABC Bakery,bánh sinh nhật,546000.0,1.3
2023-01-02,ABC Bakery,bánh cupcake,51000.0,1.3
2023-01-02,ABC Bakery,bánh mì sandwich,60000.0,1.3
2023-01-02,ABC Bakery,bánh croissant,30000.0,1.3
2023-01-02,ABC Bakery,bánh donut,26000.0,1.3
2023-01-02,Paris Baguette,bánh sinh nhật,274000.0,1.3
2023-01-02,Paris Baguette,bánh cupcake,36000.0,1.3
2023-01-02,Paris Baguette,bánh mì sandwich,54000.0,1.3
2023-01-02,Paris Baguette,bánh croissant,33000.0,1.3
2023-01-02,Paris Baguette,bánh donut,29000.0,1.3
2023-01-02,Local Bakery,bánh sinh nhật,407000.0,1.3
2023-01-02,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-02,Local Bakery,bánh mì sandwich,59000.0,1.3
2023-01-02,Local Bakery,bánh croissant,35000.0,1.3
2023-01-02,Local Bakery,bánh donut,23000.0,1.3
2023-01-03,ABC Bakery,bánh sinh nhật,513000.0,1.3
2023-01-03,ABC Bakery,bánh cupcake,43000.0,1.3
2023-01-03,ABC Bakery,bánh mì sandwich,59000.0,1.3
2023-01-03,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-03,ABC Bakery,bánh donut,27000.0,1.3
2023-01-03,Paris Baguette,bánh sinh nhật,392000.0,1.3
2023-01-03,Paris Baguette,bánh cupcake,48000.0,1.3
2023-01-03,Paris Baguette,bánh mì sandwich,60000.0,1.3
2023-01-03,Paris Baguette,bánh croissant,35000.0,1.3
2023-01-03,Paris Baguette,bánh donut,24000.0,1.3
2023-01-03,Local Bakery,bánh sinh nhật,378000.0,1.3
2023-01-03,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-03,Local Bakery,bánh mì sandwich,62000.0,1.3
2023-01-03,Local Bakery,bánh croissant,38000.0,1.3
2023-01-03,Local Bakery,bánh donut,25000.0,1.3
2023-01-04,ABC Bakery,bánh sinh nhật,600000.0,1.3
2023-01-04,ABC Bakery,bánh cupcake,48000.0,1.3
2023-01-04,ABC Bakery,bánh mì sandwich,55000.0,1.3
2023-01-04,ABC Bakery,bánh croissant,34000.0,1.3
2023-01-04,ABC Bakery,bánh donut,25000.0,1.3
2023-01-04,Paris Baguette,bánh sinh nhật,543000.0,1.3
2023-01-04,Paris Baguette,bánh cupcake,55000.0,1.3
