date,google_banh_sinh_nhat,google_banh_mi,google_tiem_banh,social_engagement_score,facebook_reach_index,instagram_hashtag_volume,tiktok_video_count,youtube_view_trend,ecommerce_search_volume,online_bakery_competition,delivery_trend_score,overall_digital_interest,trend_momentum,seasonal_digital_boost,month,adjusted_digital_interest
2023-01-01,76,41,74,89,92,403,215,31674,4181,66,96,896.6,1.1304027332507474,1.2,1,1075.92
2023-01-02,29,64,28,40,50,862,262,32388,1673,88,75,376.2,0.8273994848145753,1.2,1,451.44
2023-01-03,62,87,25,93,55,374,320,24667,929,65,64,247.0,1.170658587599268,1.2,1,296.4
2023-01-04,64,72,54,74,91,218,410,38403,3545,71,87,768.4,0.982621138763332,1.2,1,922.0799999999999
2023-01-05,49,42,55,82,78,216,261,49633,2522,31,63,551.6,0.8866008481616503,1.2,1,661.92
2023-01-06,93,31,24,99,58,739,374,28111,3031,71,61,663.0,0.980464717529532,1.2,1,795.6
2023-01-07,95,34,50,89,57,987,275,16403,3679,39,84,796.2,1.0970076364831143,1.2,1,955.44
2023-01-08,69,83,32,89,94,514,351,23655,2093,32,95,485.8,0.842099210874848,1.2,1,582.96
2023-01-09,85,68,63,88,60,757,151,13210,2132,21,86,491.8,1.0549167210907548,1.2,1,590.16
2023-01-10,23,84,32,72,59,269,470,20918,2810,43,69,611.6,1.085010269009432,1.2,1,733.92
2023-01-11,26,49,76,68,83,894,449,36102,2049,34,67,451.8,1.1330546076984351,1.2,1,542.16
2023-01-12,95,72,45,52,56,933,244,33510,2187,50,69,495.0,0.8011778568942428,1.2,1,594.0
2023-01-13,82,65,32,63,82,785,316,8220,1127,64,98,287.0,0.9766613322497173,1.2,1,344.4
2023-01-14,78,59,53,47,50,929,401,26168,3517,36,96,759.4,1.1075596240103418,1.2,1,911.28
2023-01-15,77,43,56,83,82,426,74,9054,931,61,72,241.2,1.1809178153626458,1.2,1,289.44
2023-01-16,44,73,75,57,88,419,422,48054,916,57,78,233.6,1.0858335844620517,1.2,1,280.32
2023-01-17,59,80,59,45,74,467,450,26944,3362,65,95,728.2,1.1418542331706776,1.2,1,873.84
2023-01-18,51,44,24,84,68,469,151,23693,2251,40,82,502.4,0.8162795035252866,1.2,1,602.88
2023-01-19,43,44,59,93,77,647,101,23527,2524,42,71,555.0,1.1260874346976357,1.2,1,666.0
2023-01-20,50,65,40,46,90,919,239,20420,4663,97,82,981.2,1.101764418239732,1.2,1,1177.44
2023-01-21,97,55,45,56,96,191,494,22515,4966,69,75,1049.8,0.8650498637867768,1.2,1,1259.76
2023-01-22,89,62,15,55,55,994,11,22181,2715,94,72,598.6,1.1104135696755135,1.2,1,718.32
2023-01-23,35,68,25,51,81,609,349,32034,4302,84,94,910.0,0.8875673383429581,1.2,1,1092.0
2023-01-24,81,36,29,78,75,707,325,3008,3510,99,79,756.8,0.9002735147952591,1.2,1,908.16
2023-01-25,97,83,35,98,87,176,41,16343,3402,67,89,753.8,1.1416713145643107,1.2,1,904.56
2023-01-26,57,80,71,59,63,776,46,31081,2255,44,80,506.2,0.9023596381969077,1.2,1,607.4399999999999
2023-01-27,41,39,22,88,58,638,280,33486,2209,43,97,494.8,1.166495054480934,1.2,1,593.76
2023-01-28,31,42,71,42,67,720,360,34486,4991,51,92,1039.6,0.8767591382557678,1.2,1,1247.5199999999998
2023-01-29,47,49,77,49,85,828,290,27465,4150,88,96,878.2,0.811342443998462,1.2,1,1053.84
2023-01-30,71,38,17,49,67,660,142,11356,3091,69,94,668.6,0.8046001091499106,1.2,1,802.32
2023-01-31,92,34,16,91,77,797,46,26493,4485,49,91,958.6,1.024399386956909,1.2,1,1150.32
2023-02-01,45,30,30,42,69,907,383,30689,833,77,99,209.8,0.9055426804121421,1.4,2,293.71999999999997
2023-02-02,54,65,32,96,88,534,74,24682,1178,34,77,294.0,1.1158922369214548,1.4,2,411.59999999999997
2023-02-03,69,86,71,41,51,657,405,40843,2967,66,88,650.2,0.8692935871891064,1.4,2,910.28
2023-02-04,80,44,66,97,68,763,389,11063,527,57,98,169.2,0.9289391850544213,1.4,2,236.87999999999997
2023-02-05,52,79,79,46,87,882,162,46477,1564,41,81,364.4,1.0592204264518799,1.4,2,510.1599999999999
2023-02-06,58,85,31,76,66,279,39,15037,4628,94,84,986.2,1.0437161854420016,1.4,2,1380.68
2023-02-07,56,53,45,46,73,570,321,11079,4057,77,79,858.2,1.1603836212096055,1.4,2,1201.48
2023-02-08,34,84,58,93,88,971,285,14966,4163,85,77,890.2,1.1614290147266872,1.4,2,1246.28
2023-02-09,94,31,38,58,83,521,405,17888,3434,96,92,741.8,0.8885381212360327,1.4,2,1038.52
2023-02-10,81,44,53,50,66,548,368,31819,807,35,94,215.2,0.8670307947589826,1.4,2,301.28
2023-02-11,47,42,37,87,87,344,79,22851,3961,93,89,845.2,1.1244513380158447,1.4,2,1183.28
2023-02-12,46,52,33,85,83,218,92,32898,1783,30,64,406.0,1.0159988787907088,1.4,2,568.4
2023-02-13,43,31,40,81,89,845,203,29603,827,42,91,214.6,1.0949984548844274,1.4,2,300.44
2023-02-14,29,71,16,83,52,730,217,44780,4990,71,75,1049.6,0.9271985909194087,1.4,2,1469.4399999999998
2023-02-15,62,30,55,75,60,607,94,35272,3489,31,98,750.8,1.1151606264844953,1.4,2,1051.12
2023-02-16,26,78,77,40,84,214,143,24767,4973,48,83,1040.0,0.8712593230727237,1.4,2,1456.0
2023-02-17,26,75,35,44,79,577,17,46108,4378,68,95,923.6,1.0711586418931776,1.4,2,1293.04
2023-02-18,67,75,72,85,83,941,16,27262,2920,86,88,647.0,1.0478948879218564,1.4,2,905.8
2023-02-19,65,71,37,46,56,347,311,22892,2271,96,69,504.4,0.9165004995320619,1.4,2,706.16
2023-02-20,84,78,71,84,60,336,397,27465,916,80,97,251.8,1.1631660757918616,1.4,2,352.52
2023-02-21,62,59,79,65,58,212,157,14431,763,65,81,206.0,1.085936921742035,1.4,2,288.4
2023-02-22,47,61,78,48,74,106,166,38777,1645,89,76,375.4,0.8311680704116327,1.4,2,525.56
2023-02-23,61,84,43,54,55,521,247,39867,592,38,69,172.0,0.9085023839885471,1.4,2,240.79999999999998
2023-02-24,76,43,15,94,77,229,336,46073,1634,88,75,384.4,0.9723987303731706,1.4,2,538.16
2023-02-25,65,76,73,85,87,940,157,44350,1200,23,65,298.2,1.1864207810821918,1.4,2,417.47999999999996
2023-02-26,70,34,71,88,65,486,103,22547,3760,65,76,805.6,0.9465403960006029,1.4,2,1127.84
2023-02-27,21,56,77,77,68,890,360,49530,2093,89,82,465.8,1.129355820256639,1.4,2,652.12
2023-02-28,82,78,43,93,82,759,130,45247,1148,66,78,295.8,1.1159910713584342,1.4,2,414.12
2023-03-01,95,37,78,64,79,606,308,32383,505,60,89,158.0,0.8200434882444573,1.1,3,173.8
2023-03-02,66,84,63,54,75,740,417,1061,4164,85,93,892.2,1.119819411441715,1.1,3,981.4200000000001
2023-03-03,92,43,19,44,64,926,371,15317,1579,94,77,367.0,0.9886553313753961,1.1,3,403.70000000000005
2023-03-04,23,44,79,65,71,139,224,8693,1384,87,62,315.6,1.1899013786794548,1.1,3,347.16
2023-03-05,89,80,46,41,82,360,372,41306,2220,29,93,504.6,1.016805004462992,1.1,3,555.0600000000001
2023-03-06,47,62,54,98,74,696,457,41028,4560,55,66,966.6,1.1012413893132047,1.1,3,1063.2600000000002
2023-03-07,51,71,56,69,70,570,202,44545,4654,76,83,985.6,0.8630797728194071,1.1,3,1084.16
2023-03-08,51,55,43,91,59,537,463,21493,897,48,68,232.4,0.9912139324143049,1.1,3,255.64000000000001
2023-03-09,58,65,41,50,97,158,331,19097,3014,73,68,651.0,1.0677807920269575,1.1,3,716.1
2023-03-10,39,33,49,75,93,496,89,20572,4244,72,64,891.0,1.0245689044758715,1.1,3,980.1
2023-03-11,53,56,21,74,63,256,124,32167,608,88,89,176.0,0.8312971228723547,1.1,3,193.60000000000002
2023-03-12,39,52,29,62,56,653,240,11080,4191,89,70,882.8,1.1274200989181886,1.1,3,971.08
2023-03-13,69,76,43,69,58,201,333,33547,2114,28,73,480.2,0.9403896997382336,1.1,3,528.22
2023-03-14,55,37,53,64,81,343,458,27159,2093,42,93,468.4,1.1690256225836195,1.1,3,515.24
2023-03-15,76,35,74,53,96,894,187,6536,699,73,69,186.4,1.0560437120321695,1.1,3,205.04000000000002
2023-03-16,74,61,50,95,82,724,441,22866,3005,69,62,659.4,1.0783443745862882,1.1,3,725.34
2023-03-17,87,37,39,44,96,994,304,1274,1656,58,84,381.6,1.12850813760054,1.1,3,419.76000000000005
2023-03-18,37,59,57,58,50,295,120,18809,2024,83,90,453.6,1.1948084367610061,1.1,3,498.9600000000001
2023-03-19,26,36,48,51,55,411,357,27054,3029,39,74,643.2,1.0104274841899064,1.1,3,707.5200000000001
2023-03-20,57,55,15,52,79,301,55,37127,3195,79,82,688.2,0.8240411873051707,1.1,3,757.0200000000001
2023-03-21,32,45,15,88,61,581,88,45584,1217,51,84,293.2,1.1254224163248583,1.1,3,322.52000000000004
2023-03-22,54,33,41,53,58,430,32,47876,1748,31,76,392.8,0.9557687429999824,1.1,3,432.08000000000004
2023-03-23,39,40,56,60,73,102,69,26280,3315,52,94,709.6,1.0175776687976734,1.1,3,780.5600000000001
2023-03-24,59,72,61,72,50,716,135,18750,1449,87,80,346.4,0.8863929573738905,1.1,3,381.04
2023-03-25,26,49,47,99,70,347,433,35796,3067,40,72,662.6,1.0677845256862257,1.1,3,728.8600000000001
2023-03-26,72,78,60,70,52,768,188,17721,2608,59,72,580.0,1.1473556658865738,1.1,3,638.0
2023-03-27,50,63,57,46,85,842,145,38159,3903,71,70,826.4,1.1585507778064528,1.1,3,909.0400000000001
2023-03-28,51,43,69,55,63,112,482,44216,3511,50,82,748.4,0.8847550171960193,1.1,3,823.24
2023-03-29,41,34,29,79,59,262,325,21656,2493,71,86,546.6,0.9774651351627437,1.1,3,601.2600000000001
2023-03-30,37,38,32,52,57,667,238,46182,2828,32,99,610.8,1.082108341149465,1.1,3,671.88
2023-03-31,75,82,68,83,60,339,310,42288,1919,82,85,448.8,0.8426991635696168,1.1,3,493.68000000000006
2023-04-01,39,77,19,87,97,640,66,30904,1950,86,99,450.4,0.8044432393009038,1.0,4,450.4
2023-04-02,84,44,35,72,71,297,160,19099,2850,31,68,623.6,0.978000575353241,1.0,4,623.6
2023-04-03,71,84,19,53,85,236,58,35978,4890,24,71,1033.8,1.0520386243298685,1.0,4,1033.8
2023-04-04,59,53,15,40,85,876,304,22268,4061,89,86,859.8,0.8149114046518552,1.0,4,859.8
2023-04-05,36,87,34,86,84,210,458,30909,2958,87,60,645.4,1.171965432595141,1.0,4,645.4
2023-04-06,61,86,58,90,60,726,362,43990,3822,89,68,825.4,0.8447010238527342,1.0,4,825.4
2023-04-07,29,83,61,86,96,717,101,7062,4440,62,92,946.0,0.9841984584374963,1.0,4,946.0
2023-04-08,82,58,29,87,75,382,347,45455,4332,92,60,923.8,1.1045589856668747,1.0,4,923.8
2023-04-09,21,30,71,93,74,954,37,38209,1353,26,87,316.8,1.026127278066828,1.0,4,316.8
2023-04-10,50,46,69,60,88,500,11,41209,945,59,79,236.0,0.9431547682328842,1.0,4,236.0
2023-04-11,31,87,45,51,74,987,12,1628,921,83,86,235.2,1.0525669561755178,1.0,4,235.2
2023-04-12,96,53,22,74,61,168,11,21822,2264,85,82,513.8,0.9950126069719225,1.0,4,513.8
2023-04-13,24,57,28,64,73,448,104,16367,569,30,91,161.0,0.869959166741067,1.0,4,161.0
2023-04-14,61,66,67,86,68,767,434,1501,2944,65,66,644.6,1.1830538354457225,1.0,4,644.6
2023-04-15,42,61,71,94,55,404,478,11319,902,86,70,233.8,0.9760322891720105,1.0,4,233.8
2023-04-16,97,55,49,81,90,421,453,27355,1723,50,73,405.8,1.1906974411650566,1.0,4,405.8
2023-04-17,90,66,39,60,54,370,256,44203,3549,46,99,772.8,0.9626753821500988,1.0,4,772.8
2023-04-18,87,68,64,86,68,739,273,24755,3003,63,90,666.8,0.924972612078426,1.0,4,666.8
2023-04-19,69,46,78,93,68,552,172,46629,2129,61,96,486.6,1.03036307634893,1.0,4,486.6
