date,product_category,avg_price,price_min,price_max,total_sellers,avg_sold_per_seller,estimated_total_volume,estimated_market_revenue,seasonal_factor,price_competitiveness,platform,market_trend
2023-01-01,bánh sinh nhật,506000.0,155000.0,857000.0,300,210,63016,31871060489,1.2,0.79,ecommerce_simulation,growing
2023-01-01,bánh mì sandwich,17000.0,8000.0,25000.0,267,242,64545,1082791360,1.0,0.98,ecommerce_simulation,stable
2023-01-01,bánh quy handmade,78000.0,30000.0,127000.0,242,109,26409,2069852035,1.3,0.93,ecommerce_simulation,growing
2023-01-01,bánh tart,104000.0,46000.0,161000.0,90,79,7148,741787862,1.1,0.85,ecommerce_simulation,growing
2023-01-01,bánh donut,35000.0,16000.0,53000.0,77,141,10857,375654128,1.0,0.67,ecommerce_simulation,stable
2023-01-01,mix bánh,179000.0,75000.0,283000.0,251,41,10245,1830219107,1.2,0.69,ecommerce_simulation,growing
2023-01-08,bánh sinh nhật,468000.0,144000.0,792000.0,104,261,27168,12716122457,1.2,0.77,ecommerce_simulation,growing
2023-01-08,bánh mì sandwich,16000.0,9000.0,23000.0,212,306,64770,1014971969,1.0,0.87,ecommerce_simulation,stable
2023-01-08,bánh quy handmade,71000.0,30000.0,113000.0,212,128,27123,1932575276,1.3,0.6,ecommerce_simulation,growing
2023-01-08,bánh tart,95000.0,44000.0,146000.0,77,91,7023,668769260,1.1,0.8,ecommerce_simulation,growing
2023-01-08,bánh donut,32000.0,15000.0,49000.0,249,176,43847,1393849967,1.0,0.96,ecommerce_simulation,stable
2023-01-08,mix bánh,190000.0,78000.0,302000.0,82,62,5084,967348739,1.2,0.98,ecommerce_simulation,growing
2023-01-15,bánh sinh nhật,445000.0,158000.0,732000.0,73,228,16625,7397453366,1.2,0.84,ecommerce_simulation,growing
2023-01-15,bánh mì sandwich,17000.0,8000.0,26000.0,72,299,21512,364813297,1.0,0.96,ecommerce_simulation,stable
2023-01-15,bánh quy handmade,80000.0,33000.0,128000.0,263,137,35923,2881213034,1.3,1.0,ecommerce_simulation,growing
2023-01-15,bánh tart,95000.0,42000.0,147000.0,143,67,9609,910524261,1.1,0.69,ecommerce_simulation,growing
2023-01-15,bánh donut,29000.0,14000.0,45000.0,174,238,41374,1216797056,1.0,0.92,ecommerce_simulation,stable
2023-01-15,mix bánh,180000.0,85000.0,276000.0,149,58,8602,1550333342,1.2,0.91,ecommerce_simulation,growing
2023-01-22,bánh sinh nhật,482000.0,152000.0,812000.0,294,237,69771,33614083034,1.2,0.7,ecommerce_simulation,growing
2023-01-22,bánh mì sandwich,17000.0,7000.0,26000.0,287,356,102073,1695105208,1.0,0.96,ecommerce_simulation,stable
2023-01-22,bánh quy handmade,78000.0,32000.0,124000.0,286,137,39120,3064062872,1.3,0.65,ecommerce_simulation,growing
2023-01-22,bánh tart,97000.0,47000.0,147000.0,104,59,6090,591289217,1.1,0.94,ecommerce_simulation,growing
2023-01-22,bánh donut,30000.0,14000.0,46000.0,176,210,36941,1111419331,1.0,0.95,ecommerce_simulation,stable
2023-01-22,mix bánh,181000.0,73000.0,290000.0,295,51,15028,2725346578,1.2,0.93,ecommerce_simulation,growing
