date,inflation_rate,income_index,flour_price_index,butter_price_index,sugar_price_index,milk_price_index,usd_vnd_rate,consumer_confidence,food_service_index,retail_sales_growth,unemployment_rate,gas_price_per_liter,electricity_price_per_kwh,minimum_wage_index
2024-01-01,3.37,104.5,102,108,95,104,24304.0,77.5,108,9.5,2.2,23921.0,2597.0,105.0
2024-01-02,3.58,103.7,102,108,95,104,24530.0,78.1,108,9.5,2.2,22284.0,2579.0,105.0
2024-01-03,3.56,106.4,102,108,95,104,24607.0,79.2,108,9.5,2.2,23622.0,2661.0,105.1
2024-01-04,3.35,106.6,102,108,95,104,24513.0,80.7,108,9.5,2.2,22502.0,2711.0,105.2
2024-01-05,3.2,105.4,102,108,95,104,24457.0,75.1,108,9.5,2.2,23986.0,2588.0,105.2
2024-01-06,3.75,105.8,102,108,95,104,24398.0,79.9,108,9.5,2.2,24039.0,2567.0,105.2
2024-01-07,3.24,105.6,102,108,95,104,24472.0,78.0,108,9.5,2.2,23467.0,2624.0,105.3
2024-01-08,3.42,105.6,102,108,95,104,24452.0,77.2,108,9.5,2.2,22748.0,2610.0,105.3
2024-01-09,3.49,106.4,102,108,95,104,24529.0,79.0,108,9.5,2.2,24183.0,2595.0,105.4
2024-01-10,3.65,106.6,102,108,95,104,24482.0,78.6,108,9.5,2.2,24428.0,2577.0,105.5
2024-01-11,3.49,104.6,102,108,95,104,24598.0,81.8,108,9.5,2.2,22317.0,2572.0,105.5
2024-01-12,3.33,105.8,102,108,95,104,24697.0,77.0,108,9.5,2.2,23526.0,2603.0,105.5
2024-01-13,3.34,104.8,102,108,95,104,24454.0,78.9,108,9.5,2.2,23192.0,2626.0,105.6
2024-01-14,3.25,106.3,102,108,95,104,24536.0,79.8,108,9.5,2.2,22754.0,2556.0,105.7
2024-01-15,3.73,105.0,102,108,95,104,24413.0,76.7,108,9.5,2.2,22430.0,2650.0,105.7
2024-01-16,3.54,105.1,102,108,95,104,24439.0,74.3,108,9.5,2.2,23661.0,2580.0,105.8
2024-01-17,3.48,103.4,102,108,95,104,24455.0,78.7,108,9.5,2.2,24674.0,2599.0,105.8
2024-01-18,3.35,105.8,102,108,95,104,24453.0,73.0,108,9.5,2.2,21214.0,2690.0,105.8
2024-01-19,3.63,105.6,102,108,95,104,24543.0,77.2,108,9.5,2.2,22099.0,2655.0,105.9
2024-01-20,3.37,105.7,102,108,95,104,24565.0,79.2,108,9.5,2.2,23674.0,2615.0,106.0
2024-01-21,3.36,104.5,102,108,95,104,24486.0,77.2,108,9.5,2.2,24822.0,2578.0,106.0
2024-01-22,3.37,105.8,102,108,95,104,24467.0,76.3,108,9.5,2.2,23203.0,2611.0,106.0
2024-01-23,3.7,104.7,102,108,95,104,24578.0,77.5,108,9.5,2.2,24677.0,2603.0,106.1
2024-01-24,3.5,104.8,102,108,95,104,24607.0,78.1,108,9.5,2.2,24478.0,2591.0,106.2
2024-01-25,3.37,103.5,102,108,95,104,24614.0,76.0,108,9.5,2.2,21627.0,2662.0,106.2
2024-01-26,3.75,103.7,102,108,95,104,24291.0,77.7,108,9.5,2.2,23537.0,2552.0,106.2
2024-01-27,3.81,106.8,102,108,95,104,24500.0,81.5,108,9.5,2.2,24257.0,2707.0,106.3
2024-01-28,3.56,105.2,102,108,95,104,24689.0,76.6,108,9.5,2.2,22258.0,2563.0,106.3
2024-01-29,3.52,107.4,102,108,95,104,24468.0,76.3,108,9.5,2.2,22571.0,2653.0,106.4
2024-01-30,3.33,105.2,102,108,95,104,24609.0,75.8,108,9.5,2.2,24370.0,2546.0,106.5
2024-01-31,3.73,104.4,102,108,95,104,24466.0,80.7,108,9.5,2.2,21538.0,2563.0,106.5
2024-02-01,3.54,105.2,102,108,95,104,24524.0,79.7,108,9.5,2.2,24347.0,2649.0,106.5
2024-02-02,3.52,105.2,102,108,95,104,24475.0,78.9,108,9.5,2.2,23456.0,2659.0,106.6
2024-02-03,3.24,105.9,102,108,95,104,24219.0,77.8,108,9.5,2.2,22749.0,2586.0,106.7
2024-02-04,3.64,104.9,102,108,95,104,24523.0,80.1,108,9.5,2.2,23876.0,2719.0,106.7
2024-02-05,4.0,105.6,102,108,95,104,24624.0,82.0,108,9.5,2.2,23507.0,2604.0,106.8
2024-02-06,3.17,104.7,102,108,95,104,24479.0,79.4,108,9.5,2.2,21586.0,2616.0,106.8
2024-02-07,3.17,104.5,102,108,95,104,24599.0,80.0,108,9.5,2.2,23535.0,2663.0,106.8
2024-02-08,3.41,106.0,102,108,95,104,24450.0,81.0,108,9.5,2.2,23160.0,2568.0,106.9
2024-02-09,3.37,105.1,102,108,95,104,24473.0,76.9,108,9.5,2.2,20637.0,2606.0,107.0
2024-02-10,3.55,105.5,102,108,95,104,24400.0,77.0,108,9.5,2.2,22322.0,2587.0,107.0
2024-02-11,3.16,104.6,102,108,95,104,24474.0,76.1,108,9.5,2.2,24733.0,2577.0,107.0
2024-02-12,3.66,105.0,102,108,95,104,24568.0,78.9,108,9.5,2.2,21665.0,2606.0,107.1
2024-02-13,3.33,106.1,102,108,95,104,24426.0,76.0,108,9.5,2.2,22238.0,2571.0,107.2
2024-02-14,3.19,104.5,102,108,95,104,24667.0,74.5,108,9.5,2.2,24455.0,2541.0,107.2
2024-02-15,3.52,103.8,102,108,95,104,24411.0,80.2,108,9.5,2.2,22360.0,2596.0,107.2
2024-02-16,3.62,104.3,102,108,95,104,24562.0,80.0,108,9.5,2.2,22112.0,2597.0,107.3
2024-02-17,3.33,105.4,102,108,95,104,24371.0,76.9,108,9.5,2.2,21636.0,2520.0,107.3
2024-02-18,3.68,104.1,102,108,95,104,24562.0,74.6,108,9.5,2.2,22839.0,2543.0,107.4
2024-02-19,3.59,104.0,102,108,95,104,24362.0,76.3,108,9.5,2.2,23230.0,2685.0,107.5
2024-02-20,3.54,104.8,102,108,95,104,24529.0,81.7,108,9.5,2.2,21429.0,2617.0,107.5
2024-02-21,3.74,105.2,102,108,95,104,24472.0,78.2,108,9.5,2.2,21997.0,2618.0,107.5
2024-02-22,3.66,104.8,102,108,95,104,24525.0,77.7,108,9.5,2.2,22468.0,2609.0,107.6
2024-02-23,3.55,104.3,102,108,95,104,24546.0,79.1,108,9.5,2.2,22818.0,2717.0,107.7
2024-02-24,3.5,102.7,102,108,95,104,24336.0,77.1,108,9.5,2.2,26300.0,2564.0,107.7
2024-02-25,3.44,106.5,102,108,95,104,24525.0,73.8,108,9.5,2.2,20658.0,2619.0,107.8
2024-02-26,3.47,107.0,102,108,95,104,24502.0,81.2,108,9.5,2.2,25067.0,2492.0,107.8
2024-02-27,3.33,105.7,102,108,95,104,24506.0,75.8,108,9.5,2.2,23517.0,2546.0,107.8
2024-02-28,3.44,104.9,102,108,95,104,24543.0,73.0,108,9.5,2.2,22839.0,2594.0,107.9
2024-02-29,2.97,107.1,102,108,95,104,24342.0,77.5,108,9.5,2.2,21527.0,2520.0,108.0
2024-03-01,3.85,104.7,102,108,95,104,24414.0,78.8,108,9.5,2.2,21882.0,2519.0,108.0
2024-03-02,3.16,104.4,102,108,95,104,24488.0,80.4,108,9.5,2.2,20770.0,2555.0,108.0
2024-03-03,3.3,104.0,102,108,95,104,24452.0,80.5,108,9.5,2.2,21560.0,2543.0,108.1
2024-03-04,3.4,105.8,102,108,95,104,24543.0,78.2,108,9.5,2.2,22186.0,2625.0,108.2
2024-03-05,3.73,105.4,102,108,95,104,24543.0,80.8,108,9.5,2.2,22306.0,2540.0,108.2
2024-03-06,3.55,104.2,102,108,95,104,24512.0,80.3,108,9.5,2.2,23751.0,2687.0,108.2
2024-03-07,3.48,107.6,102,108,95,104,24450.0,77.6,108,9.5,2.2,23938.0,2675.0,108.3
2024-03-08,3.7,106.8,102,108,95,104,24499.0,78.1,108,9.5,2.2,21122.0,2577.0,108.3
2024-03-09,3.32,105.0,102,108,95,104,24424.0,78.6,108,9.5,2.2,21818.0,2622.0,108.4
2024-03-10,3.54,105.2,102,108,95,104,24703.0,77.2,108,9.5,2.2,23052.0,2667.0,108.5
2024-03-11,3.39,105.2,102,108,95,104,24381.0,80.9,108,9.5,2.2,22425.0,2594.0,108.5
2024-03-12,3.52,103.9,102,108,95,104,24393.0,78.1,108,9.5,2.2,22740.0,2533.0,108.5
2024-03-13,3.81,104.5,102,108,95,104,24671.0,76.7,108,9.5,2.2,24038.0,2530.0,108.6
2024-03-14,3.25,105.5,102,108,95,104,24513.0,82.0,108,9.5,2.2,22489.0,2607.0,108.7
2024-03-15,3.63,103.9,102,108,95,104,24668.0,80.1,108,9.5,2.2,22068.0,2668.0,108.7
2024-03-16,3.41,104.4,102,108,95,104,24504.0,77.7,108,9.5,2.2,21341.0,2582.0,108.8
2024-03-17,3.5,104.9,102,108,95,104,24505.0,80.2,108,9.5,2.2,21936.0,2607.0,108.8
2024-03-18,3.7,103.6,102,108,95,104,24514.0,77.4,108,9.5,2.2,22895.0,2511.0,108.8
2024-03-19,3.6,105.2,102,108,95,104,24445.0,80.0,108,9.5,2.2,23992.0,2487.0,108.9
2024-03-20,3.39,104.7,102,108,95,104,24717.0,78.9,108,9.5,2.2,24438.0,2590.0,109.0
2024-03-21,3.52,105.3,102,108,95,104,24658.0,80.1,108,9.5,2.2,23469.0,2542.0,109.0
2024-03-22,3.63,105.9,102,108,95,104,24440.0,80.1,108,9.5,2.2,24430.0,2663.0,109.0
2024-03-23,3.41,104.3,102,108,95,104,24474.0,79.8,108,9.5,2.2,23077.0,2673.0,109.1
2024-03-24,3.8,104.5,102,108,95,104,24484.0,79.5,108,9.5,2.2,23491.0,2653.0,109.2
2024-03-25,3.53,104.9,102,108,95,104,24430.0,81.1,108,9.5,2.2,22271.0,2520.0,109.2
2024-03-26,2.98,106.1,102,108,95,104,24445.0,79.0,108,9.5,2.2,22796.0,2529.0,109.2
2024-03-27,3.31,107.0,102,108,95,104,24541.0,77.8,108,9.5,2.2,24641.0,2679.0,109.3
2024-03-28,3.65,105.1,102,108,95,104,24554.0,78.6,108,9.5,2.2,24922.0,2569.0,109.3
2024-03-29,3.58,104.2,102,108,95,104,24530.0,76.8,108,9.5,2.2,22033.0,2637.0,109.4
2024-03-30,3.46,106.1,102,108,95,104,24567.0,78.4,108,9.5,2.2,25394.0,2599.0,109.5
2024-03-31,3.63,105.1,102,108,95,104,24367.0,76.4,108,9.5,2.2,23133.0,2590.0,109.5
2024-04-01,3.59,104.2,102,108,95,104,24560.0,82.0,108,9.5,2.2,22363.0,2521.0,109.5
2024-04-02,3.32,105.3,102,108,95,104,24451.0,73.9,108,9.5,2.2,23930.0,2640.0,109.6
2024-04-03,3.22,106.2,102,108,95,104,24462.0,79.4,108,9.5,2.2,19802.0,2656.0,109.7
2024-04-04,3.76,105.0,102,108,95,104,24716.0,79.2,108,9.5,2.2,22579.0,2557.0,109.7
2024-04-05,3.08,103.3,102,108,95,104,24568.0,78.9,108,9.5,2.2,22373.0,2660.0,109.8
2024-04-06,3.46,103.9,102,108,95,104,24611.0,78.5,108,9.5,2.2,23423.0,2592.0,109.8
2024-04-07,3.72,104.8,102,108,95,104,24510.0,80.6,108,9.5,2.2,22631.0,2633.0,109.8
2024-04-08,3.82,107.2,102,108,95,104,24291.0,75.8,108,9.5,2.2,25576.0,2586.0,109.9
2024-04-09,3.75,105.9,102,108,95,104,24493.0,80.1,108,9.5,2.2,23952.0,2615.0,110.0
2024-04-10,3.08,104.2,102,108,95,104,24430.0,77.0,108,9.5,2.2,21678.0,2588.0,110.0
2024-04-11,3.53,104.4,102,108,95,104,24650.0,79.0,108,9.5,2.2,23162.0,2646.0,110.0
