date,shopping_query,search_interest,platform
2023-01-01,mua bánh sinh nhật online,0,google_shopping_trends
2023-01-08,mua bánh sinh nhật online,0,google_shopping_trends
2023-01-15,mua bánh sinh nhật online,14,google_shopping_trends
2023-01-22,mua bánh sinh nhật online,0,google_shopping_trends
2023-01-29,mua bánh sinh nhật online,0,google_shopping_trends
2023-02-05,mua bánh sinh nhật online,0,google_shopping_trends
2023-02-12,mua bánh sinh nhật online,0,google_shopping_trends
2023-02-19,mua bánh sinh nhật online,0,google_shopping_trends
2023-02-26,mua bánh sinh nhật online,0,google_shopping_trends
2023-03-05,mua bánh sinh nhật online,0,google_shopping_trends
2023-03-12,mua bánh sinh nhật online,0,google_shopping_trends
2023-03-19,mua bánh sinh nhật online,0,google_shopping_trends
2023-03-26,mua bánh sinh nhật online,0,google_shopping_trends
2023-04-02,mua bánh sinh nhật online,0,google_shopping_trends
2023-04-09,mua bánh sinh nhật online,0,google_shopping_trends
2023-04-16,mua bánh sinh nhật online,0,google_shopping_trends
2023-04-23,mua bánh sinh nhật online,0,google_shopping_trends
2023-04-30,mua bánh sinh nhật online,0,google_shopping_trends
2023-05-07,mua bánh sinh nhật online,0,google_shopping_trends
2023-05-14,mua bánh sinh nhật online,0,google_shopping_trends
2023-05-21,mua bánh sinh nhật online,0,google_shopping_trends
2023-05-28,mua bánh sinh nhật online,0,google_shopping_trends
2023-06-04,mua bánh sinh nhật online,0,google_shopping_trends
2023-06-11,mua bánh sinh nhật online,0,google_shopping_trends
2023-06-18,mua bánh sinh nhật online,0,google_shopping_trends
2023-06-25,mua bánh sinh nhật online,0,google_shopping_trends
2023-07-02,mua bánh sinh nhật online,0,google_shopping_trends
2023-07-09,mua bánh sinh nhật online,0,google_shopping_trends
2023-07-16,mua bánh sinh nhật online,0,google_shopping_trends
2023-07-23,mua bánh sinh nhật online,0,google_shopping_trends
2023-07-30,mua bánh sinh nhật online,0,google_shopping_trends
2023-08-06,mua bánh sinh nhật online,0,google_shopping_trends
2023-08-13,mua bánh sinh nhật online,0,google_shopping_trends
2023-08-20,mua bánh sinh nhật online,0,google_shopping_trends
2023-08-27,mua bánh sinh nhật online,0,google_shopping_trends
2023-09-03,mua bánh sinh nhật online,0,google_shopping_trends
2023-09-10,mua bánh sinh nhật online,0,google_shopping_trends
2023-09-17,mua bánh sinh nhật online,0,google_shopping_trends
2023-09-24,mua bánh sinh nhật online,0,google_shopping_trends
2023-10-01,mua bánh sinh nhật online,0,google_shopping_trends
2023-10-08,mua bánh sinh nhật online,0,google_shopping_trends
2023-10-15,mua bánh sinh nhật online,0,google_shopping_trends
2023-10-22,mua bánh sinh nhật online,0,google_shopping_trends
2023-10-29,mua bánh sinh nhật online,0,google_shopping_trends
2023-11-05,mua bánh sinh nhật online,0,google_shopping_trends
2023-11-12,mua bánh sinh nhật online,0,google_shopping_trends
2023-11-19,mua bánh sinh nhật online,0,google_shopping_trends
2023-11-26,mua bánh sinh nhật online,0,google_shopping_trends
2023-12-03,mua bánh sinh nhật online,0,google_shopping_trends
2023-12-10,mua bánh sinh nhật online,0,google_shopping_trends
2023-12-17,mua bánh sinh nhật online,15,google_shopping_trends
2023-12-24,mua bánh sinh nhật online,0,google_shopping_trends
2023-12-31,mua bánh sinh nhật online,0,google_shopping_trends
2024-01-07,mua bánh sinh nhật online,0,google_shopping_trends
2024-01-14,mua bánh sinh nhật online,0,google_shopping_trends
2024-01-21,mua bánh sinh nhật online,0,google_shopping_trends
2024-01-28,mua bánh sinh nhật online,0,google_shopping_trends
2024-02-04,mua bánh sinh nhật online,0,google_shopping_trends
2024-02-11,mua bánh sinh nhật online,0,google_shopping_trends
2024-02-18,mua bánh sinh nhật online,0,google_shopping_trends
2024-02-25,mua bánh sinh nhật online,0,google_shopping_trends
2024-03-03,mua bánh sinh nhật online,0,google_shopping_trends
2024-03-10,mua bánh sinh nhật online,0,google_shopping_trends
2024-03-17,mua bánh sinh nhật online,0,google_shopping_trends
2024-03-24,mua bánh sinh nhật online,0,google_shopping_trends
2024-03-31,mua bánh sinh nhật online,0,google_shopping_trends
2024-04-07,mua bánh sinh nhật online,0,google_shopping_trends
2024-04-14,mua bánh sinh nhật online,0,google_shopping_trends
2024-04-21,mua bánh sinh nhật online,0,google_shopping_trends
2024-04-28,mua bánh sinh nhật online,0,google_shopping_trends
2024-05-05,mua bánh sinh nhật online,0,google_shopping_trends
2024-05-12,mua bánh sinh nhật online,0,google_shopping_trends
2024-05-19,mua bánh sinh nhật online,0,google_shopping_trends
2024-05-26,mua bánh sinh nhật online,0,google_shopping_trends
2024-06-02,mua bánh sinh nhật online,0,google_shopping_trends
2024-06-09,mua bánh sinh nhật online,0,google_shopping_trends
2024-06-16,mua bánh sinh nhật online,0,google_shopping_trends
2024-06-23,mua bánh sinh nhật online,0,google_shopping_trends
2024-06-30,mua bánh sinh nhật online,0,google_shopping_trends
2024-07-07,mua bánh sinh nhật online,0,google_shopping_trends
2024-07-14,mua bánh sinh nhật online,0,google_shopping_trends
2024-07-21,mua bánh sinh nhật online,0,google_shopping_trends
2024-07-28,mua bánh sinh nhật online,0,google_shopping_trends
2024-08-04,mua bánh sinh nhật online,0,google_shopping_trends
2024-08-11,mua bánh sinh nhật online,0,google_shopping_trends
2024-08-18,mua bánh sinh nhật online,0,google_shopping_trends
2024-08-25,mua bánh sinh nhật online,0,google_shopping_trends
2024-09-01,mua bánh sinh nhật online,0,google_shopping_trends
2024-09-08,mua bánh sinh nhật online,0,google_shopping_trends
2024-09-15,mua bánh sinh nhật online,0,google_shopping_trends
2024-09-22,mua bánh sinh nhật online,0,google_shopping_trends
2024-09-29,mua bánh sinh nhật online,0,google_shopping_trends
2024-10-06,mua bánh sinh nhật online,0,google_shopping_trends
2024-10-13,mua bánh sinh nhật online,0,google_shopping_trends
2024-10-20,mua bánh sinh nhật online,0,google_shopping_trends
2024-10-27,mua bánh sinh nhật online,0,google_shopping_trends
2024-11-03,mua bánh sinh nhật online,0,google_shopping_trends
2024-11-10,mua bánh sinh nhật online,0,google_shopping_trends
2024-11-17,mua bánh sinh nhật online,0,google_shopping_trends
2024-11-24,mua bánh sinh nhật online,0,google_shopping_trends
2024-12-01,mua bánh sinh nhật online,0,google_shopping_trends
2024-12-08,mua bánh sinh nhật online,0,google_shopping_trends
2024-12-15,mua bánh sinh nhật online,0,google_shopping_trends
2024-12-22,mua bánh sinh nhật online,0,google_shopping_trends
2024-12-29,mua bánh sinh nhật online,0,google_shopping_trends
2023-01-01,đặt bánh online,0,google_shopping_trends
2023-01-08,đặt bánh online,0,google_shopping_trends
2023-01-15,đặt bánh online,0,google_shopping_trends
2023-01-22,đặt bánh online,0,google_shopping_trends
2023-01-29,đặt bánh online,0,google_shopping_trends
2023-02-05,đặt bánh online,0,google_shopping_trends
2023-02-12,đặt bánh online,0,google_shopping_trends
2023-02-19,đặt bánh online,0,google_shopping_trends
2023-02-26,đặt bánh online,0,google_shopping_trends
2023-03-05,đặt bánh online,0,google_shopping_trends
2023-03-12,đặt bánh online,0,google_shopping_trends
2023-03-19,đặt bánh online,0,google_shopping_trends
2023-03-26,đặt bánh online,0,google_shopping_trends
2023-04-02,đặt bánh online,0,google_shopping_trends
2023-04-09,đặt bánh online,0,google_shopping_trends
2023-04-16,đặt bánh online,0,google_shopping_trends
2023-04-23,đặt bánh online,0,google_shopping_trends
2023-04-30,đặt bánh online,0,google_shopping_trends
2023-05-07,đặt bánh online,0,google_shopping_trends
2023-05-14,đặt bánh online,0,google_shopping_trends
2023-05-21,đặt bánh online,0,google_shopping_trends
2023-05-28,đặt bánh online,0,google_shopping_trends
2023-06-04,đặt bánh online,0,google_shopping_trends
2023-06-11,đặt bánh online,0,google_shopping_trends
