date,keyword,search_interest,platform
2023-01-01,bánh sinh nhật,31,google
2023-01-08,bánh sinh nhật,26,google
2023-01-15,bánh sinh nhật,25,google
2023-01-22,bánh sinh nhật,31,google
2023-01-29,bánh sinh nhật,34,google
2023-02-05,bánh sinh nhật,36,google
2023-02-12,bánh sinh nhật,33,google
2023-02-19,bánh sinh nhật,33,google
2023-02-26,bánh sinh nhật,37,google
2023-03-05,bánh sinh nhật,41,google
2023-03-12,bánh sinh nhật,33,google
2023-03-19,bánh sinh nhật,31,google
2023-03-26,bánh sinh nhật,31,google
2023-04-02,bánh sinh nhật,32,google
2023-04-09,bánh sinh nhật,31,google
2023-04-16,bánh sinh nhật,30,google
2023-04-23,bánh sinh nhật,30,google
2023-04-30,bánh sinh nhật,32,google
2023-05-07,bánh sinh nhật,31,google
2023-05-14,bánh sinh nhật,37,google
2023-05-21,bánh sinh nhật,34,google
2023-05-28,bánh sinh nhật,33,google
2023-06-04,bánh sinh nhật,34,google
2023-06-11,bánh sinh nhật,34,google
2023-06-18,bánh sinh nhật,37,google
2023-06-25,bánh sinh nhật,35,google
2023-07-02,bánh sinh nhật,39,google
2023-07-09,bánh sinh nhật,38,google
2023-07-16,bánh sinh nhật,36,google
2023-07-23,bánh sinh nhật,36,google
2023-07-30,bánh sinh nhật,37,google
2023-08-06,bánh sinh nhật,40,google
2023-08-13,bánh sinh nhật,41,google
2023-08-20,bánh sinh nhật,37,google
2023-08-27,bánh sinh nhật,40,google
2023-09-03,bánh sinh nhật,36,google
2023-09-10,bánh sinh nhật,33,google
2023-09-17,bánh sinh nhật,35,google
2023-09-24,bánh sinh nhật,36,google
2023-10-01,bánh sinh nhật,40,google
2023-10-08,bánh sinh nhật,43,google
2023-10-15,bánh sinh nhật,46,google
2023-10-22,bánh sinh nhật,34,google
2023-10-29,bánh sinh nhật,32,google
2023-11-05,bánh sinh nhật,35,google
2023-11-12,bánh sinh nhật,34,google
2023-11-19,bánh sinh nhật,34,google
2023-11-26,bánh sinh nhật,27,google
2023-12-03,bánh sinh nhật,28,google
2023-12-10,bánh sinh nhật,31,google
2023-12-17,bánh sinh nhật,28,google
2023-12-24,bánh sinh nhật,27,google
