date,inflation_rate,avg_disposable_income,consumer_confidence_index
2023-01-31,3.52,9350000.0,70.9
2023-02-28,3.89,10010000.0,66.9
2023-03-31,3.38,10280000.0,63.7
2023-04-30,3.46,10100000.0,79.4
2023-05-31,4.23,9510000.0,62.9
2023-06-30,4.55,8680000.0,63.8
2023-07-31,3.95,7840000.0,70.7
2023-08-31,3.71,7230000.0,61.4
2023-09-30,3.36,7030000.0,70.0
2023-10-31,4.48,7290000.0,69.7
2023-11-30,4.24,7970000.0,57.9
2023-12-31,4.1,8890000.0,67.8
2024-01-31,4.34,9820000.0,59.9
2024-02-29,5.19,10510000.0,65.1
2024-03-31,4.44,10800000.0,60.6
2024-04-30,5.84,10600000.0,61.6
2024-05-31,5.03,9970000.0,62.0
2024-06-30,4.82,9100000.0,65.6
2024-07-31,5.43,8220000.0,53.2
2024-08-31,5.79,7580000.0,66.5
2024-09-30,4.69,7370000.0,64.4
2024-10-31,5.97,7640000.0,57.6
2024-11-30,5.32,8350000.0,69.0
2024-12-31,5.35,9310000.0,53.1
