date,trend_type,popularity_score,search_volume
2023-01-01,healthy_cake,29.2,2976
2023-01-01,sugar_free,26.6,2512
2023-01-01,vegan_cake,14.4,1915
2023-01-01,traditional_cake,83.2,8339
2023-01-01,premium_cake,45.3,5035
2023-01-08,healthy_cake,27.6,2859
2023-01-08,sugar_free,24.2,3242
2023-01-08,vegan_cake,13.9,1173
2023-01-08,traditional_cake,85.5,8504
2023-01-08,premium_cake,48.3,4098
2023-01-15,healthy_cake,32.1,3466
2023-01-15,sugar_free,22.9,2657
2023-01-15,vegan_cake,12.7,1855
2023-01-15,traditional_cake,87.0,8454
2023-01-15,premium_cake,45.1,4422
2023-01-22,healthy_cake,30.5,3160
2023-01-22,sugar_free,24.5,1930
2023-01-22,vegan_cake,21.2,1362
2023-01-22,traditional_cake,82.9,8785
2023-01-22,premium_cake,46.3,4455
2023-01-29,healthy_cake,34.4,3318
2023-01-29,sugar_free,27.6,3353
2023-01-29,vegan_cake,14.5,1360
2023-01-29,traditional_cake,86.1,8794
2023-01-29,premium_cake,48.9,4748
2023-02-05,healthy_cake,33.3,3044
2023-02-05,sugar_free,29.1,2838
2023-02-05,vegan_cake,20.6,1606
2023-02-05,traditional_cake,81.2,8305
2023-02-05,premium_cake,46.5,4028
2023-02-12,healthy_cake,32.3,3152
2023-02-12,sugar_free,30.0,2988
2023-02-12,vegan_cake,20.9,1668
2023-02-12,traditional_cake,81.8,7433
2023-02-12,premium_cake,47.1,4899
2023-02-19,healthy_cake,34.5,3578
2023-02-19,sugar_free,31.0,3327
2023-02-19,vegan_cake,18.4,806
2023-02-19,traditional_cake,81.4,7917
2023-02-19,premium_cake,46.4,4130
2023-02-26,healthy_cake,33.5,3123
2023-02-26,sugar_free,31.2,3212
2023-02-26,vegan_cake,16.1,1238
2023-02-26,traditional_cake,79.8,6764
2023-02-26,premium_cake,48.7,5357
2023-03-05,healthy_cake,34.1,3263
2023-03-05,sugar_free,30.4,2156
2023-03-05,vegan_cake,16.0,1825
2023-03-05,traditional_cake,83.3,8240
2023-03-05,premium_cake,50.8,3873
2023-03-12,healthy_cake,36.9,3677
2023-03-12,sugar_free,32.3,3372
2023-03-12,vegan_cake,17.6,1986
2023-03-12,traditional_cake,82.1,7755
2023-03-12,premium_cake,51.9,5619
2023-03-19,healthy_cake,34.7,3263
2023-03-19,sugar_free,29.5,2694
2023-03-19,vegan_cake,20.1,2073
2023-03-19,traditional_cake,81.2,8658
2023-03-19,premium_cake,50.2,5323
2023-03-26,healthy_cake,35.5,3964
2023-03-26,sugar_free,33.7,3490
2023-03-26,vegan_cake,23.4,3073
2023-03-26,traditional_cake,78.7,8674
2023-03-26,premium_cake,51.0,5240
2023-04-02,healthy_cake,38.9,3867
2023-04-02,sugar_free,35.9,4264
2023-04-02,vegan_cake,22.5,2394
2023-04-02,traditional_cake,80.6,8247
2023-04-02,premium_cake,54.0,5231
2023-04-09,healthy_cake,41.6,4027
2023-04-09,sugar_free,38.2,3345
2023-04-09,vegan_cake,21.1,2323
2023-04-09,traditional_cake,78.7,8212
2023-04-09,premium_cake,54.1,5415
2023-04-16,healthy_cake,39.7,4261
2023-04-16,sugar_free,35.2,3248
2023-04-16,vegan_cake,20.8,1885
2023-04-16,traditional_cake,78.2,7490
2023-04-16,premium_cake,52.8,5377
2023-04-23,healthy_cake,40.2,4029
2023-04-23,sugar_free,31.4,3976
2023-04-23,vegan_cake,23.6,2272
2023-04-23,traditional_cake,76.5,8460
2023-04-23,premium_cake,54.5,4694
2023-04-30,healthy_cake,40.2,4238
2023-04-30,sugar_free,38.1,3698
2023-04-30,vegan_cake,23.8,1864
2023-04-30,traditional_cake,81.2,8345
2023-04-30,premium_cake,52.5,5411
2023-05-07,healthy_cake,40.8,3376
2023-05-07,sugar_free,38.8,3805
