date,ecommerce_total_revenue,ecommerce_avg_price,ecommerce_total_volume,ecommerce_seller_count,ecommerce_market_competition,ecommerce_price_trend,ecommerce_market_heat,online_vs_offline_ratio,delivery_demand_score
2023-01-01,2599540908735,152896.82539682538,17436117,176,0.68,stable,hot,0.38,81
2023-01-02,2561569543754,152894.23076923078,17253897,176,0.73,stable,hot,0.37,64
2023-01-03,2561569543754,152894.23076923078,17253897,176,0.76,stable,hot,0.35,60
2023-01-04,2561569543754,152894.23076923078,17253897,176,0.81,stable,hot,0.39,70
2023-01-05,2561569543754,152894.23076923078,17253897,176,0.65,stable,hot,0.2,62
2023-01-06,2561569543754,152894.23076923078,17253897,176,0.66,stable,hot,0.23,61
2023-01-07,2561569543754,152894.23076923078,17253897,176,0.77,stable,hot,0.38,72
2023-01-08,2561569543754,152894.23076923078,17253897,176,0.6,stable,hot,0.26,67
2023-01-09,2542875906086,152967.63754045308,17078882,176,0.88,stable,hot,0.24,75
2023-01-10,2542875906086,152967.63754045308,17078882,176,0.68,stable,hot,0.39,84
2023-01-11,2542875906086,152967.63754045308,17078882,176,0.77,stable,hot,0.31,78
2023-01-12,2542875906086,152967.63754045308,17078882,176,0.64,stable,hot,0.21,66
2023-01-13,2542875906086,152967.63754045308,17078882,176,0.76,stable,hot,0.33,65
2023-01-14,2542875906086,152967.63754045308,17078882,176,0.83,stable,hot,0.32,68
2023-01-15,2542875906086,152967.63754045308,17078882,176,0.73,stable,hot,0.34,79
2023-01-16,2528554771730,153084.96732026144,16945237,176,0.67,stable,hot,0.26,65
2023-01-17,2528554771730,153084.96732026144,16945237,176,0.86,stable,hot,0.24,84
2023-01-18,2528554771730,153084.96732026144,16945237,176,0.87,stable,hot,0.26,77
2023-01-19,2528554771730,153084.96732026144,16945237,176,0.62,stable,hot,0.28,60
2023-01-20,2528554771730,153084.96732026144,16945237,176,0.82,stable,hot,0.35,62
2023-01-21,2528554771730,153084.96732026144,16945237,176,0.72,stable,hot,0.38,83
2023-01-22,2528554771730,153084.96732026144,16945237,176,0.8,stable,hot,0.32,83
2023-01-23,2485753465490,153140.26402640264,16676214,176,0.81,stable,hot,0.22,76
2023-01-24,2485753465490,153140.26402640264,16676214,176,0.63,stable,hot,0.31,88
2023-01-25,2485753465490,153140.26402640264,16676214,176,0.65,stable,hot,0.39,92
2023-01-26,2485753465490,153140.26402640264,16676214,176,0.66,stable,hot,0.24,69
2023-01-27,2485753465490,153140.26402640264,16676214,176,0.89,stable,hot,0.37,95
2023-01-28,2485753465490,153140.26402640264,16676214,176,0.73,stable,hot,0.39,63
2023-01-29,2485753465490,153140.26402640264,16676214,176,0.6,stable,hot,0.3,93
2023-01-30,2456659017075,153201.66666666666,16503394,176,0.89,stable,hot,0.4,80
2023-01-31,2456659017075,153201.66666666666,16503394,176,0.81,stable,hot,0.31,66
2023-02-01,2456659017075,153201.66666666666,16503394,176,0.81,stable,hot,0.29,81
2023-02-02,2456659017075,153201.66666666666,16503394,176,0.63,stable,hot,0.26,74
2023-02-03,2456659017075,153201.66666666666,16503394,176,0.84,stable,hot,0.25,67
2023-02-04,2456659017075,153201.66666666666,16503394,176,0.69,stable,hot,0.22,86
2023-02-05,2456659017075,153201.66666666666,16503394,176,0.73,stable,hot,0.32,76
2023-02-06,2430519518961,153286.1952861953,16344451,176,0.84,stable,hot,0.21,91
2023-02-07,2430519518961,153286.1952861953,16344451,176,0.65,stable,hot,0.39,92
2023-02-08,2430519518961,153286.1952861953,16344451,176,0.81,stable,hot,0.34,72
2023-02-09,2430519518961,153286.1952861953,16344451,176,0.85,stable,hot,0.28,83
2023-02-10,2430519518961,153286.1952861953,16344451,176,0.76,stable,hot,0.39,62
2023-02-11,2430519518961,153286.1952861953,16344451,176,0.85,stable,hot,0.38,67
