date,season,temperature,is_holiday,holiday_name,holiday_impact_factor,is_weekend,weather_demand_factor,month,quarter
2024-01-01,Mùa đông,19.2,True,Tết Dương lịch,1.5,False,0.95,1,1
2024-01-02,Mùa đông,21.6,True,Tết Dương lịch,1.2,False,0.95,1,1
2024-01-03,Mùa đông,21.4,False,,1.0,False,0.95,1,1
2024-01-04,Mùa đông,20.9,False,,1.0,False,0.95,1,1
2024-01-05,Mùa đông,19.7,False,,1.0,False,0.95,1,1
2024-01-06,Mùa đông,18.4,False,,1.0,True,0.95,1,1
2024-01-07,Mùa đông,19.7,False,,1.0,True,0.95,1,1
2024-01-08,Mùa đông,17.2,False,,1.0,False,0.95,1,1
2024-01-09,Mùa đông,24.0,False,,1.0,False,0.95,1,1
2024-01-10,Mùa đông,19.7,False,,1.0,False,0.95,1,1
2024-01-11,Mùa đông,19.9,False,,1.0,False,0.95,1,1
2024-01-12,Mùa đông,17.9,False,,1.0,False,0.95,1,1
2024-01-13,Mùa đông,18.5,False,,1.0,True,0.95,1,1
2024-01-14,Mùa đông,19.9,False,,1.0,True,0.95,1,1
2024-01-15,Mùa đông,19.7,False,,1.0,False,0.95,1,1
2024-01-16,Mùa đông,15.0,False,,1.0,False,0.95,1,1
2024-01-17,Mùa đông,16.6,False,,1.0,False,0.95,1,1
2024-01-18,Mùa đông,21.1,False,,1.0,False,0.95,1,1
2024-01-19,Mùa đông,19.2,False,,1.0,False,0.95,1,1
2024-01-20,Mùa đông,20.3,False,,1.0,True,0.95,1,1
2024-01-21,Mùa đông,17.3,False,,1.0,True,0.95,1,1
2024-01-22,Mùa đông,21.8,False,,1.0,False,0.95,1,1
2024-01-23,Mùa đông,17.8,False,,1.0,False,0.95,1,1
2024-01-24,Mùa đông,21.8,False,,1.0,False,0.95,1,1
2024-01-25,Mùa đông,21.9,False,,1.0,False,0.95,1,1
2024-01-26,Mùa đông,21.2,False,,1.0,False,0.95,1,1
2024-01-27,Mùa đông,18.0,False,,1.0,True,0.95,1,1
2024-01-28,Mùa đông,20.0,False,,1.0,True,0.95,1,1
2024-01-29,Mùa đông,20.6,False,,1.0,False,0.95,1,1
2024-01-30,Mùa đông,22.8,False,,1.0,False,0.95,1,1
2024-01-31,Mùa đông,21.6,False,,1.0,False,0.95,1,1
2024-02-01,Mùa đông,23.1,False,,1.0,False,0.95,2,1
2024-02-02,Mùa đông,19.2,False,,1.0,False,0.95,2,1
2024-02-03,Mùa đông,22.2,True,Tết Nguyên đán,1.0,True,0.95,2,1
2024-02-04,Mùa đông,21.9,True,Tết Nguyên đán,1.0,True,0.95,2,1
2024-02-05,Mùa đông,18.6,True,Tết Nguyên đán,1.0,False,0.95,2,1
2024-02-06,Mùa đông,19.4,True,Tết Nguyên đán,1.0,False,0.95,2,1
2024-02-07,Mùa đông,20.8,True,Tết Nguyên đán,1.2,False,0.95,2,1
2024-02-08,Mùa đông,22.1,True,Tết Nguyên đán,1.8,False,0.95,2,1
2024-02-09,Mùa đông,19.5,True,Tết Nguyên đán,2.4,False,0.95,2,1
2024-02-10,Mùa đông,20.9,True,Tết Nguyên đán,3.0,True,0.95,2,1
2024-02-11,Mùa đông,24.4,True,Valentine,2.4,True,0.95,2,1
2024-02-12,Mùa đông,22.0,True,Valentine,1.8,False,0.95,2,1
2024-02-13,Mùa đông,22.1,True,Valentine,2.0,False,0.95,2,1
2024-02-14,Mùa đông,20.2,True,Valentine,2.5,False,0.95,2,1
2024-02-15,Mùa đông,22.3,True,Valentine,2.0,False,0.95,2,1
2024-02-16,Mùa đông,22.2,True,Valentine,1.5,False,0.95,2,1
2024-02-17,Mùa đông,23.9,True,Valentine,1.0,True,0.95,2,1
2024-02-18,Mùa đông,20.4,False,,1.0,True,0.95,2,1
2024-02-19,Mùa đông,19.1,False,,1.0,False,0.95,2,1
2024-02-20,Mùa đông,22.2,False,,1.0,False,0.95,2,1
2024-02-21,Mùa đông,16.1,False,,1.0,False,0.95,2,1
2024-02-22,Mùa đông,17.5,False,,1.0,False,0.95,2,1
2024-02-23,Mùa đông,20.4,False,,1.0,False,0.95,2,1
2024-02-24,Mùa đông,22.9,False,,1.0,True,0.95,2,1
2024-02-25,Mùa đông,21.1,False,,1.0,True,0.95,2,1
2024-02-26,Mùa đông,22.9,False,,1.0,False,0.95,2,1
2024-02-27,Mùa đông,16.4,False,,1.0,False,0.95,2,1
2024-02-28,Mùa đông,18.6,False,,1.0,False,0.95,2,1
2024-02-29,Mùa đông,20.8,False,,1.0,False,0.95,2,1
2024-03-01,Mùa xuân,29.9,False,,1.0,False,1.1,3,1
2024-03-02,Mùa xuân,28.1,False,,1.0,True,1.1,3,1
2024-03-03,Mùa xuân,29.9,False,,1.0,True,1.1,3,1
2024-03-04,Mùa xuân,29.4,False,,1.0,False,1.1,3,1
2024-03-05,Mùa xuân,28.3,False,,1.0,False,1.1,3,1
2024-03-06,Mùa xuân,28.5,False,,1.0,False,1.1,3,1
2024-03-07,Mùa xuân,28.2,False,,1.0,False,1.1,3,1
2024-03-08,Mùa xuân,28.3,False,,1.0,False,1.1,3,1
2024-03-09,Mùa xuân,28.9,False,,1.0,True,1.1,3,1
2024-03-10,Mùa xuân,32.6,False,,1.0,True,1.1,3,1
2024-03-11,Mùa xuân,26.4,False,,1.0,False,1.1,3,1
2024-03-12,Mùa xuân,29.2,False,,1.0,False,1.1,3,1
2024-03-13,Mùa xuân,29.3,False,,1.0,False,1.1,3,1
2024-03-14,Mùa xuân,29.0,False,,1.0,False,1.1,3,1
2024-03-15,Mùa xuân,28.7,False,,1.0,False,1.1,3,1
2024-03-16,Mùa xuân,29.5,False,,1.0,True,1.1,3,1
2024-03-17,Mùa xuân,27.5,False,,1.0,True,1.1,3,1
2024-03-18,Mùa xuân,28.1,False,,1.0,False,1.1,3,1
2024-03-19,Mùa xuân,30.3,False,,1.0,False,1.1,3,1
2024-03-20,Mùa xuân,26.2,False,,1.0,False,1.1,3,1
2024-03-21,Mùa xuân,31.3,False,,1.0,False,1.1,3,1
2024-03-22,Mùa xuân,29.8,False,,1.0,False,1.1,3,1
2024-03-23,Mùa xuân,24.1,False,,1.0,True,1.1,3,1
2024-03-24,Mùa xuân,30.0,False,,1.0,True,1.1,3,1
2024-03-25,Mùa xuân,28.7,False,,1.0,False,1.1,3,1
2024-03-26,Mùa xuân,29.1,False,,1.0,False,1.1,3,1
2024-03-27,Mùa xuân,30.7,False,,1.0,False,1.1,3,1
2024-03-28,Mùa xuân,31.7,False,,1.0,False,1.1,3,1
2024-03-29,Mùa xuân,26.6,False,,1.0,False,1.1,3,1
2024-03-30,Mùa xuân,27.3,False,,1.0,True,1.1,3,1
2024-03-31,Mùa xuân,29.5,False,,1.0,True,1.1,3,1
2024-04-01,Mùa xuân,28.6,False,,1.0,False,1.1,4,2
2024-04-02,Mùa xuân,29.1,False,,1.0,False,1.1,4,2
2024-04-03,Mùa xuân,29.8,False,,1.0,False,1.1,4,2
2024-04-04,Mùa xuân,30.0,False,,1.0,False,1.1,4,2
2024-04-05,Mùa xuân,27.8,False,,1.0,False,1.1,4,2
2024-04-06,Mùa xuân,28.9,False,,1.0,True,1.1,4,2
2024-04-07,Mùa xuân,31.4,False,,1.0,True,1.1,4,2
2024-04-08,Mùa xuân,29.1,False,,1.0,False,1.1,4,2
2024-04-09,Mùa xuân,25.1,False,,1.0,False,1.1,4,2
2024-04-10,Mùa xuân,29.2,False,,1.0,False,1.1,4,2
2024-04-11,Mùa xuân,29.5,False,,1.0,False,1.1,4,2
2024-04-12,Mùa xuân,32.6,False,,1.0,False,1.1,4,2
2024-04-13,Mùa xuân,31.9,False,,1.0,True,1.1,4,2
2024-04-14,Mùa xuân,30.2,False,,1.0,True,1.1,4,2
2024-04-15,Mùa xuân,29.2,False,,1.0,False,1.1,4,2
2024-04-16,Mùa xuân,33.0,False,,1.0,False,1.1,4,2
2024-04-17,Mùa xuân,27.7,False,,1.0,False,1.1,4,2
2024-04-18,Mùa xuân,33.3,False,,1.0,False,1.1,4,2
2024-04-19,Mùa xuân,29.6,False,,1.0,False,1.1,4,2
2024-04-20,Mùa xuân,24.2,False,,1.0,True,1.1,4,2
2024-04-21,Mùa xuân,28.2,False,,1.0,True,1.1,4,2
2024-04-22,Mùa xuân,28.6,False,,1.0,False,1.1,4,2
2024-04-23,Mùa xuân,28.5,False,,1.0,False,1.1,4,2
2024-04-24,Mùa xuân,30.4,False,,1.0,False,1.1,4,2
2024-04-25,Mùa xuân,27.8,False,,1.0,False,1.1,4,2
2024-04-26,Mùa xuân,32.5,False,,1.0,False,1.1,4,2
2024-04-27,Mùa xuân,26.4,False,,1.0,True,1.1,4,2
2024-04-28,Mùa xuân,28.1,False,,1.0,True,1.1,4,2
2024-04-29,Mùa xuân,32.2,False,,1.0,False,1.1,4,2
2024-04-30,Mùa xuân,34.8,False,,1.0,False,1.1,4,2
2024-05-01,Mùa xuân,29.4,False,,1.0,False,1.1,5,2
2024-05-02,Mùa xuân,27.4,False,,1.0,False,1.1,5,2
2024-05-03,Mùa xuân,28.3,False,,1.0,False,1.1,5,2
2024-05-04,Mùa xuân,29.1,False,,1.0,True,1.1,5,2
2024-05-05,Mùa xuân,31.4,False,,1.0,True,1.1,5,2
2024-05-06,Mùa xuân,26.8,False,,1.0,False,1.1,5,2
2024-05-07,Mùa xuân,27.6,False,,1.0,False,1.1,5,2
2024-05-08,Mùa xuân,27.3,False,,1.0,False,1.1,5,2
2024-05-09,Mùa xuân,32.1,False,,1.0,False,1.1,5,2
2024-05-10,Mùa xuân,28.4,False,,1.0,False,1.1,5,2
2024-05-11,Mùa xuân,30.9,False,,1.0,True,1.1,5,2
2024-05-12,Mùa xuân,28.4,False,,1.0,True,1.1,5,2
2024-05-13,Mùa xuân,30.1,False,,1.0,False,1.1,5,2
2024-05-14,Mùa xuân,27.7,False,,1.0,False,1.1,5,2
2024-05-15,Mùa xuân,27.2,False,,1.0,False,1.1,5,2
2024-05-16,Mùa xuân,28.0,False,,1.0,False,1.1,5,2
2024-05-17,Mùa xuân,31.1,False,,1.0,False,1.1,5,2
2024-05-18,Mùa xuân,27.8,False,,1.0,True,1.1,5,2
2024-05-19,Mùa xuân,27.5,False,,1.0,True,1.1,5,2
2024-05-20,Mùa xuân,26.2,False,,1.0,False,1.1,5,2
2024-05-21,Mùa xuân,28.8,False,,1.0,False,1.1,5,2
2024-05-22,Mùa xuân,28.5,False,,1.0,False,1.1,5,2
2024-05-23,Mùa xuân,27.4,False,,1.0,False,1.1,5,2
2024-05-24,Mùa xuân,24.2,False,,1.0,False,1.1,5,2
2024-05-25,Mùa xuân,28.9,False,,1.0,True,1.1,5,2
2024-05-26,Mùa xuân,27.0,False,,1.0,True,1.1,5,2
2024-05-27,Mùa xuân,28.4,False,,1.0,False,1.1,5,2
2024-05-28,Mùa xuân,29.6,False,,1.0,False,1.1,5,2
2024-05-29,Mùa xuân,25.2,False,,1.0,False,1.1,5,2
2024-05-30,Mùa xuân,24.4,False,,1.0,False,1.1,5,2
2024-05-31,Mùa xuân,28.0,False,,1.0,False,1.1,5,2
2024-06-01,Mùa hè,32.9,False,,1.0,True,1.2,6,2
2024-06-02,Mùa hè,35.6,False,,1.0,True,1.2,6,2
2024-06-03,Mùa hè,33.4,False,,1.0,False,1.2,6,2
2024-06-04,Mùa hè,34.1,False,,1.0,False,1.2,6,2
2024-06-05,Mùa hè,31.2,False,,1.0,False,1.2,6,2
2024-06-06,Mùa hè,34.3,False,,1.0,False,1.2,6,2
2024-06-07,Mùa hè,35.6,False,,1.0,False,1.2,6,2
2024-06-08,Mùa hè,36.6,False,,1.0,True,1.2,6,2
2024-06-09,Mùa hè,32.0,False,,1.0,True,1.2,6,2
2024-06-10,Mùa hè,33.8,False,,1.0,False,1.2,6,2
2024-06-11,Mùa hè,30.1,False,,1.0,False,1.2,6,2
2024-06-12,Mùa hè,33.6,False,,1.0,False,1.2,6,2
2024-06-13,Mùa hè,33.7,False,,1.0,False,1.2,6,2
2024-06-14,Mùa hè,36.1,False,,1.0,False,1.2,6,2
2024-06-15,Mùa hè,33.2,False,,1.0,True,1.2,6,2
2024-06-16,Mùa hè,35.1,False,,1.0,True,1.2,6,2
2024-06-17,Mùa hè,35.9,False,,1.0,False,1.2,6,2
2024-06-18,Mùa hè,33.5,False,,1.0,False,1.2,6,2
2024-06-19,Mùa hè,31.4,False,,1.0,False,1.2,6,2
2024-06-20,Mùa hè,32.0,False,,1.0,False,1.2,6,2
2024-06-21,Mùa hè,37.4,False,,1.0,False,1.2,6,2
2024-06-22,Mùa hè,35.5,False,,1.0,True,1.2,6,2
2024-06-23,Mùa hè,32.1,False,,1.0,True,1.2,6,2
2024-06-24,Mùa hè,32.2,False,,1.0,False,1.2,6,2
2024-06-25,Mùa hè,34.7,False,,1.0,False,1.2,6,2
2024-06-26,Mùa hè,33.4,False,,1.0,False,1.2,6,2
2024-06-27,Mùa hè,30.5,False,,1.0,False,1.2,6,2
2024-06-28,Mùa hè,34.6,False,,1.0,False,1.2,6,2
2024-06-29,Mùa hè,36.9,False,,1.0,True,1.2,6,2
2024-06-30,Mùa hè,32.4,False,,1.0,True,1.2,6,2
2024-07-01,Mùa hè,30.8,False,,1.0,False,1.2,7,3
2024-07-02,Mùa hè,31.1,False,,1.0,False,1.2,7,3
2024-07-03,Mùa hè,33.0,False,,1.0,False,1.2,7,3
2024-07-04,Mùa hè,35.7,False,,1.0,False,1.2,7,3
2024-07-05,Mùa hè,36.0,False,,1.0,False,1.2,7,3
2024-07-06,Mùa hè,32.9,False,,1.0,True,1.2,7,3
2024-07-07,Mùa hè,33.2,False,,1.0,True,1.2,7,3
2024-07-08,Mùa hè,29.1,False,,1.0,False,1.2,7,3
2024-07-09,Mùa hè,32.2,False,,1.0,False,1.2,7,3
2024-07-10,Mùa hè,29.6,False,,1.0,False,1.2,7,3
2024-07-11,Mùa hè,31.8,False,,1.0,False,1.2,7,3
2024-07-12,Mùa hè,32.8,False,,1.0,False,1.2,7,3
2024-07-13,Mùa hè,33.5,False,,1.0,True,1.2,7,3
2024-07-14,Mùa hè,34.4,False,,1.0,True,1.2,7,3
2024-07-15,Mùa hè,28.7,False,,1.0,False,1.2,7,3
2024-07-16,Mùa hè,31.7,False,,1.0,False,1.2,7,3
2024-07-17,Mùa hè,30.2,False,,1.0,False,1.2,7,3
2024-07-18,Mùa hè,32.8,False,,1.0,False,1.2,7,3
2024-07-19,Mùa hè,30.5,False,,1.0,False,1.2,7,3
2024-07-20,Mùa hè,33.5,False,,1.0,True,1.2,7,3
2024-07-21,Mùa hè,33.1,False,,1.0,True,1.2,7,3
2024-07-22,Mùa hè,28.6,False,,1.0,False,1.2,7,3
2024-07-23,Mùa hè,30.9,False,,1.0,False,1.2,7,3
2024-07-24,Mùa hè,33.4,False,,1.0,False,1.2,7,3
2024-07-25,Mùa hè,32.7,False,,1.0,False,1.2,7,3
2024-07-26,Mùa hè,28.3,False,,1.0,False,1.2,7,3
2024-07-27,Mùa hè,31.4,False,,1.0,True,1.2,7,3
2024-07-28,Mùa hè,32.4,False,,1.0,True,1.2,7,3
2024-07-29,Mùa hè,31.0,False,,1.0,False,1.2,7,3
2024-07-30,Mùa hè,28.4,False,,1.0,False,1.2,7,3
2024-07-31,Mùa hè,32.1,False,,1.0,False,1.2,7,3
2024-08-01,Mùa hè,28.5,False,,1.0,False,1.2,8,3
2024-08-02,Mùa hè,27.2,False,,1.0,False,1.2,8,3
2024-08-03,Mùa hè,30.6,False,,1.0,True,1.2,8,3
2024-08-04,Mùa hè,32.9,False,,1.0,True,1.2,8,3
2024-08-05,Mùa hè,31.3,False,,1.0,False,1.2,8,3
2024-08-06,Mùa hè,34.0,False,,1.0,False,1.2,8,3
2024-08-07,Mùa hè,32.4,False,,1.0,False,1.2,8,3
2024-08-08,Mùa hè,31.4,False,,1.0,False,1.2,8,3
2024-08-09,Mùa hè,31.3,False,,1.0,False,1.2,8,3
2024-08-10,Mùa hè,31.6,False,,1.0,True,1.2,8,3
2024-08-11,Mùa hè,32.1,False,,1.0,True,1.2,8,3
2024-08-12,Mùa hè,32.7,False,,1.0,False,1.2,8,3
2024-08-13,Mùa hè,28.3,False,,1.0,False,1.2,8,3
2024-08-14,Mùa hè,31.3,False,,1.0,False,1.2,8,3
2024-08-15,Mùa hè,36.1,False,,1.0,False,1.2,8,3
2024-08-16,Mùa hè,29.5,False,,1.0,False,1.2,8,3
2024-08-17,Mùa hè,31.9,False,,1.0,True,1.2,8,3
2024-08-18,Mùa hè,30.7,False,,1.0,True,1.2,8,3
2024-08-19,Mùa hè,31.3,False,,1.0,False,1.2,8,3
2024-08-20,Mùa hè,33.6,False,,1.0,False,1.2,8,3
2024-08-21,Mùa hè,33.6,False,,1.0,False,1.2,8,3
2024-08-22,Mùa hè,29.1,False,,1.0,False,1.2,8,3
