date,keyword,category,trend_score,applicability_score,weighted_score,data_source
2024-01-07,bánh ngọt,direct_bakery,61,1.0,61,mock_data
2024-01-14,bánh ngọt,direct_bakery,44,1.0,44,mock_data
2024-01-21,bánh ngọt,direct_bakery,40,1.0,40,mock_data
2024-01-28,bánh ngọt,direct_bakery,54,1.0,54,mock_data
2024-02-04,bánh ngọt,direct_bakery,57,1.0,57,mock_data
2024-02-11,bánh ngọt,direct_bakery,44,1.0,44,mock_data
2024-02-18,bánh ngọt,direct_bakery,46,1.0,46,mock_data
2024-02-25,bánh ngọt,direct_bakery,47,1.0,47,mock_data
2024-03-03,bánh ngọt,direct_bakery,65,1.0,65,mock_data
2024-03-10,bánh ngọt,direct_bakery,67,1.0,67,mock_data
2024-03-17,bánh ngọt,direct_bakery,50,1.0,50,mock_data
2024-03-24,bánh ngọt,direct_bakery,56,1.0,56,mock_data
2024-03-31,bánh ngọt,direct_bakery,42,1.0,42,mock_data
2024-04-07,bánh ngọt,direct_bakery,64,1.0,64,mock_data
2024-04-14,bánh ngọt,direct_bakery,53,1.0,53,mock_data
2024-04-21,bánh ngọt,direct_bakery,58,1.0,58,mock_data
2024-04-28,bánh ngọt,direct_bakery,46,1.0,46,mock_data
2024-05-05,bánh ngọt,direct_bakery,42,1.0,42,mock_data
2024-05-12,bánh ngọt,direct_bakery,57,1.0,57,mock_data
2024-05-19,bánh ngọt,direct_bakery,60,1.0,60,mock_data
2024-05-26,bánh ngọt,direct_bakery,61,1.0,61,mock_data
2024-06-02,bánh ngọt,direct_bakery,51,1.0,51,mock_data
2024-06-09,bánh ngọt,direct_bakery,47,1.0,47,mock_data
2024-06-16,bánh ngọt,direct_bakery,47,1.0,47,mock_data
2024-06-23,bánh ngọt,direct_bakery,35,1.0,35,mock_data
2024-06-30,bánh ngọt,direct_bakery,42,1.0,42,mock_data
2024-07-07,bánh ngọt,direct_bakery,64,1.0,64,mock_data
2024-07-14,bánh ngọt,direct_bakery,55,1.0,55,mock_data
2024-07-21,bánh ngọt,direct_bakery,49,1.0,49,mock_data
2024-07-28,bánh ngọt,direct_bakery,44,1.0,44,mock_data
2024-08-04,bánh ngọt,direct_bakery,27,1.0,27,mock_data
2024-08-11,bánh ngọt,direct_bakery,41,1.0,41,mock_data
2024-08-18,bánh ngọt,direct_bakery,40,1.0,40,mock_data
2024-08-25,bánh ngọt,direct_bakery,43,1.0,43,mock_data
2024-09-01,bánh ngọt,direct_bakery,31,1.0,31,mock_data
2024-09-08,bánh ngọt,direct_bakery,24,1.0,24,mock_data
2024-09-15,bánh ngọt,direct_bakery,30,1.0,30,mock_data
2024-09-22,bánh ngọt,direct_bakery,36,1.0,36,mock_data
2024-09-29,bánh ngọt,direct_bakery,41,1.0,41,mock_data
2024-10-06,bánh ngọt,direct_bakery,30,1.0,30,mock_data
2024-10-13,bánh ngọt,direct_bakery,35,1.0,35,mock_data
2024-10-20,bánh ngọt,direct_bakery,40,1.0,40,mock_data
2024-10-27,bánh ngọt,direct_bakery,32,1.0,32,mock_data
2024-11-03,bánh ngọt,direct_bakery,36,1.0,36,mock_data
2024-11-10,bánh ngọt,direct_bakery,39,1.0,39,mock_data
2024-11-17,bánh ngọt,direct_bakery,30,1.0,30,mock_data
2024-11-24,bánh ngọt,direct_bakery,42,1.0,42,mock_data
2024-12-01,bánh ngọt,direct_bakery,43,1.0,43,mock_data
2024-12-08,bánh ngọt,direct_bakery,52,1.0,52,mock_data
2024-12-15,bánh ngọt,direct_bakery,56,1.0,56,mock_data
2024-12-22,bánh ngọt,direct_bakery,50,1.0,50,mock_data
2024-12-29,bánh ngọt,direct_bakery,41,1.0,41,mock_data
2024-01-07,tiramisu,direct_bakery,40,1.0,40,mock_data
2024-01-14,tiramisu,direct_bakery,58,1.0,58,mock_data
2024-01-21,tiramisu,direct_bakery,44,1.0,44,mock_data
2024-01-28,tiramisu,direct_bakery,37,1.0,37,mock_data
2024-02-04,tiramisu,direct_bakery,59,1.0,59,mock_data
2024-02-11,tiramisu,direct_bakery,44,1.0,44,mock_data
2024-02-18,tiramisu,direct_bakery,54,1.0,54,mock_data
2024-02-25,tiramisu,direct_bakery,63,1.0,63,mock_data
2024-03-03,tiramisu,direct_bakery,60,1.0,60,mock_data
2024-03-10,tiramisu,direct_bakery,52,1.0,52,mock_data
2024-03-17,tiramisu,direct_bakery,67,1.0,67,mock_data
2024-03-24,tiramisu,direct_bakery,46,1.0,46,mock_data
2024-03-31,tiramisu,direct_bakery,49,1.0,49,mock_data
2024-04-07,tiramisu,direct_bakery,46,1.0,46,mock_data
2024-04-14,tiramisu,direct_bakery,44,1.0,44,mock_data
2024-04-21,tiramisu,direct_bakery,46,1.0,46,mock_data
2024-04-28,tiramisu,direct_bakery,51,1.0,51,mock_data
2024-05-05,tiramisu,direct_bakery,35,1.0,35,mock_data
2024-05-12,tiramisu,direct_bakery,63,1.0,63,mock_data
2024-05-19,tiramisu,direct_bakery,58,1.0,58,mock_data
2024-05-26,tiramisu,direct_bakery,48,1.0,48,mock_data
2024-06-02,tiramisu,direct_bakery,55,1.0,55,mock_data
